codigo,nombre,estado,tipo,region,comuna,hospital,monto_estimado,moneda,fecha_publicacion,fecha_cierre,fecha_adjudicacion,cantidad_items,date_scraped
1057489-102-LP26,CONVENIO DE SUMINISTRO DE CABLE CERCLAJE CON INCORPORACIÓN DE EQUIPAMIENTO POR 36 MESES PARA HOSPITAL DEL SALVADOR,Adjudicada,LP,Región Metropolitana de Santiago,Providencia,SERVICIO DE SALUD ORIENTE HOSPITAL DEL SALVADOR,345000000.0,CLP,2026-03-23,2026-04-13,2026-05-29,1,2026-05-29
1057509-72-LE26,CONVENIO PROVEEDURÍA DE INSUMOS CON PISTOLA DE BIOPSIA AUTOMATICA REUTILIZABLE EN COMODATO PARA TOMA DE BIOPSIA UROLÓGICA,Adjudicada,LE,Región del Ñuble,Chillán,HOSPITAL CLINICO HERMINDA MARTIN,14111496.0,CLP,2026-03-20,2026-03-26,2026-05-29,1,2026-05-29
2292-23-L126,ADQUISICIÓN DEL SERVICIO DE COFFEE BREAK SALUDABLE PARA CAPACITACIONES FUNCIONARIAS DEL AÑO 2026,Desierta (o art. 3 ó 9 Ley 19.886),L1,Región del Maule,Talca,I MUNICIPALIDAD DE TALCA,2475000.0,CLP,2026-04-06,2026-04-17,2026-05-29,1,2026-05-29
4766-2-R226,ADQUISICION DE PRODUCTOS FARMACEUTICOS E INSUMOS BOTICA-FARMACIA CONSULTORIO MUNICIPAL,Adjudicada,LE,Región de Valparaíso,La Cruz,I MUNICIPALIDAD DE LA CRUZ,,CLP,2026-02-03,2026-03-11,2026-05-29,103,2026-05-29
948354-81-LE26,ADQUISICIÓN DE INSTRUMENTAL RETRACTOR ESTERNAL ARTERIA MAMARIA INTERNA TIPO BUGGE PARA EL HOSPITAL DIPRECA,Publicada,LE,Región Metropolitana de Santiago,Las Condes,FONDO HOSPITAL DE LA DIRECCION DE PREVISION DE CARABINEROS DE CHILE,15000000.0,CLP,2026-05-29,2026-06-08,2026-08-05,1,2026-05-29
1057429-30-LQ25,CONVENIO REACTIVOS QUIMICA CLINICA,Adjudicada,LQ,Región del Biobío,Coronel,SERVICIO NACIONAL DE SALUD HOSPITAL DE CORONEL,260504202.0,CLP,2026-04-06,2026-04-27,2026-05-29,1,2026-05-29
1057439-119-LP25,CONVENIO SUMINISTRO INSUMOS ESTERILIZACIÓN ESPECÍFICOS,Adjudicada,LP,Región de Coquimbo,La Serena,SERVICIO DE SALUD COQUIMBO HOSPITAL LA SERENA,,CLP,2025-11-04,2025-11-24,2026-05-29,18,2026-05-29
1057532-33-L126,INSUMOS Y ALIMENTOS DE CAFETERÍA PARA REUNIONES Y/O JORNADAS DEPTO. DE GESTIÓN COMUNITARIA Y PUEBLOS ORIGINARIOS.,Desierta (o art. 3 ó 9 Ley 19.886),L1,Región de los Lagos,Osorno,SERVICIO DE SALUD OSORNO,4675562.0,CLP,2026-04-27,2026-05-05,2026-05-29,1,2026-05-29
1149-6-O126,"AIF, MEJORAMIENTO SERVICIO SANITARIO RURAL BAHIA MURTA",Publicada,O1,Región Aysén del General Carlos Ibáñez del Campo,Coyhaique,MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF,,CLP,2026-05-29,2026-07-01,2026-08-31,1,2026-05-29
1702-14-LE26,ADQUISICION DE EQUIPAMIENTOS MEDICOS,Adjudicada,LE,Región de Valparaíso,,SERVICIO DE SALUD VINA DEL MAR QUILLOTA,,CLP,2026-04-24,2026-05-12,2026-05-29,2,2026-05-29
