codigo,nombre,estado,tipo,region,comuna,hospital,monto_estimado,moneda,fecha_publicacion,fecha_cierre,fecha_adjudicacion,cantidad_items,date_scraped
1057370-11-LE26,ROPA DE CAMA PARA LAS UNIDADES CLÍNICAS,Publicada,LE,Región de Valparaíso,Putaendo,HOSPITAL PSIQUIATRICO DR. PHILIPPE PINEL PUTAENDO,,CLP,2026-05-18,2026-06-02,2026-06-30,5,2026-05-18
1180747-2-LR26,MEJORAMIENTO ELÉCTRICO Y CORRIENTES DÉBILES DEL HOSPITAL DE RÍO NEGRO NUEVO LLAMADO,Adjudicada,LR,Región de los Lagos,Puerto Montt,SERVICIO DE SALUD OSORNO,876984814.0,CLP,2026-03-20,2026-04-20,2026-05-18,1,2026-05-18
1947-95-LE26,217-ADQUISICIÓN DE MEDICAMENTOS OFTALMOLÓGICOS PARA EL HOSPITAL DE NIÑOS DR. ROBERTO DEL RIO CFO,Publicada,LE,Región Metropolitana de Santiago,Independencia,SERVICIO DE SALUD NORTE HOSPITAL ROBERTO DEL RIO,,CLP,2026-05-18,2026-05-28,2026-06-29,8,2026-05-18
2658-130-L126,INSUMOS VARIOS (PARA GALVANOS Y OTROS),Desierta (o art. 3 ó 9 Ley 19.886),L1,Región Metropolitana de Santiago,Las Condes,I MUNICIPALIDAD DE ANCUD,1800000.0,CLP,2026-04-29,2026-05-07,2026-05-18,16,2026-05-18
1180877-1-LP26,ADQUISICIÓN DE ECÓGRAFO OCULAR PARA EL HOSPITAL CARLOS VAN BUREN,Desierta (o art. 3 ó 9 Ley 19.886),LP,Región de Valparaíso,Valparaíso,SERVICIO DE SALUD VALPARAISO SAN ANTONIO,120758000.0,CLP,2026-04-06,2026-04-27,2026-05-18,1,2026-05-18
2258-60-LE26,CONTRATACION DE SERVICIOS DE MANTENCION PREVENTIVA CORRECTIVA Y SUSTITUCIÓN DE EQUIPOS DEL SISTEMA DE CLIMATIZACIÓN Y REFRIGERACIÓN PARA EL HOSPITAL REGIONAL DE ANTOFAGASTA Y SUS ESTABLECIMIENTOS DEPENDIENTES,Adjudicada,LE,Región de Antofagasta,Antofagasta,SERVICIO DE SALUD ANTOFAGASTA HOSPITAL L,,CLP,2026-04-07,2026-04-17,2026-05-18,1,2026-05-18
1947-98-LE26,217-ADQUISICIÓN DE JARABES Y SUPOSITORIOS PARA EL HOSPITAL DE NIÑOS DR. ROBERTO DEL RIO CFO,Publicada,LE,Región Metropolitana de Santiago,Independencia,SERVICIO DE SALUD NORTE HOSPITAL ROBERTO DEL RIO,,CLP,2026-05-18,2026-05-28,2026-06-29,12,2026-05-18
1417913-61-L126,"ADQUISICIÓN, INSTALACIÓN Y HABILITACIÓN DE KITS DE CONECTIVIDAD SATELITAL PARA CLÍNICAS MÓVILES DENTALES DE CORMUDESI POR 6 MESES",Publicada,L1,Región Metropolitana de Santiago,Las Condes,CORP MUNICIPAL DE DESARROLLO SOCIAL DE IQUIQUE,6900000.0,CLP,2026-05-18,2026-05-25,2026-09-22,2,2026-05-18
608-60-LP26,ERN CONVENIO SUMINISTRO INSUMOS CLINICOS CIRCUITO ANESTESIA ADULTO,Adjudicada,LP,Región de Valparaíso,Viña del Mar,HOSPITAL DR GUSTAVO FRICKE DE VINA DEL MAR,,CLP,2026-03-03,2026-03-24,2026-05-18,1,2026-05-18
1422830-3-LR26,SUMINISTRO DE INSUMOS PARA IMPLANTES DE ESCOLIOSIS PEDIATRICO HCVB,Adjudicada,LR,Región de Valparaíso,Valparaíso,SERVICIO NACIONAL DE SALUD HOSPITAL CARLOS VAN BUREN,,CLP,2026-03-04,2026-04-06,2026-05-18,9,2026-05-18
1499-98-LE26,INSUMOS PARA LA UNIDAD DE BRONCOSCOPIA QUE RESULTARON DESIERTOS EN EL PROCESO ID 1499-64-LE26,Adjudicada,LE,Región Metropolitana de Santiago,Providencia,INSTITUTO NACIONAL DEL TORAX,56918700.0,CLP,2026-04-27,2026-05-07,2026-05-18,4,2026-05-18
2157-73-LE26,COMPRA SERVICIOS MEDICOS CARDIOLOGICOS Y ECOGRAFICOS.,Desierta (o art. 3 ó 9 Ley 19.886),LE,Región del Biobío,Concepción,SERVICIO NAC DE SALUD HOSPITAL TRAUMATOLOGICO,69000000.0,CLP,2026-04-29,2026-05-11,2026-05-18,1,2026-05-18
