codigo,nombre,estado,tipo,region,comuna,hospital,monto_estimado,moneda,fecha_publicacion,fecha_cierre,fecha_adjudicacion,cantidad_items,date_scraped
2080-112-LP26,SUMINISTRO INSUMOS PARA CUANTIFICACIÓN DE ANALITOS,Publicada,LP,Región del Libertador General Bernardo O´Higgins,Rancagua,SERVICIO DE SALUD DEL LIBERTADOR B O'HIGGINS HOSPITAL REG RANCAGUA,,CLP,2026-06-11,2026-06-22,2026-08-21,16,2026-06-11
2296-28-LE26,CONTRATACIÓN DE MÉDICO VETERINARIO 2026,Adjudicada,LE,Región Metropolitana de Santiago,Conchalí,I MUNICIPALIDAD DE CONCHALI,11360000.0,CLP,2026-05-22,2026-06-02,2026-06-11,1,2026-06-11
2395-20-L126,"(SOL. PED. 313) CURSO ""ELEMENTO BÁSICOS DE LA GESTIÓN EN PERSONAS CON CONDICIONES CRÓNICAS DE SALUD""",Adjudicada,L1,Región Metropolitana de Santiago,Pedro Aguirre Cerda,I MUNICIPALIDAD PEDRO AGUIRRE CERDA,5600000.0,CLP,2026-05-19,2026-05-27,2026-06-11,1,2026-06-11
915021-12-CO26,SUMINISTRO INSUMOS VETERINARIOS DOMA 2026,Desierta (o art. 3 ó 9 Ley 19.886),CO,Región del Libertador General Bernardo O´Higgins,Las Cabras,I MUNICIPALIDAD DE LAS CABRAS,,CLP,2026-06-01,2026-06-11,2026-06-25,1,2026-06-11
1057979-5-LP26,CONVENIO MANTENCION DEL SERV. DE SALUD TALCAHUANO,Publicada,LP,Región del Biobío,Talcahuano,DIRECCION SERVICIO DE SALUD TALCAHUANO,,CLP,2026-06-11,2026-07-01,2026-07-30,1,2026-06-11
1079650-6-LE26,TROTADORAS ELÉCTRICAS PARA HOSPITAL TRAUMATOLÓGICO,Adjudicada,LE,Región del Biobío,Concepción,SERVICIO DE SALUD CONCEPCION,,CLP,2026-04-17,2026-04-27,2026-06-11,1,2026-06-11
1242140-7-LE26,CONVENIO POR SERVICIO DE TRASLADO PARA EL PROGRAMA PAI DESARROLLA DEL HOSPITAL PROVINCIAL DE OVALLE,Publicada,LE,Región de Coquimbo,,SERVICIO DE SALUD COQUIMBO HOSPITAL DE O,,CLP,2026-06-11,2026-06-22,2026-08-02,1,2026-06-11
1350296-65-LP26,CONVENIO DE SUMINISTRO DE INSUMOS Y REACTIVOS CON EQUIPOS EN COMODATO ASOCIADOS PARA LA UNIDAD DE LABORATORIO CLÍNICO – UMT DEL HOSPITAL ALTO HOSPICIO POR 36 MESES,Publicada,LP,Región de Tarapacá,,HOSPITAL DE ALTO HOSPICIO,290664640.0,CLP,2026-06-11,2026-07-03,2026-11-03,1,2026-06-11
1621-17-L126,SERVICIO DE MAQUINAS VENDING DE CAFÉ Y SNACKS PARA HOSPITAL DE MARCHIGUE,Adjudicada,L1,Región Metropolitana de Santiago,Santiago,SERVICIO DE SALUD HOSPITAL DE MARCHIGUE,70588.0,CLP,2026-05-12,2026-05-20,2026-06-11,1,2026-06-11
1057509-86-LR26,“CONVENIO PROVEEDURIA DE INSUMOS PARA CIRUGÍAS OFTALMOLÓGICAS CON EQUIPOS EN COMODATO ASOCIADOS”  BRD,Revocada,LR,Región del Ñuble,Chillán,HOSPITAL CLINICO HERMINDA MARTIN,521221058.0,CLP,2026-04-06,2026-05-06,2026-06-19,1,2026-06-11
2381-32-LE26,CONTRATACIÓN DEL SERVICIO DE MÉDICO OFTALMÓLOGO PARA UNIDAD DE ATENCIÓN PRIMARIA DE OFTALMOLOGÍA AÑO 2026,Adjudicada,LE,Región de Atacama,Copiapó,I MUNICIPALIDAD DE COPIAPO,,CLP,2026-05-13,2026-05-25,2026-06-11,1,2026-06-11
2727-10-LE26,INSUMOS DENTALES CESFAM DR. JOSÉ DURÁN TRUJILLO,Publicada,LE,Región del Ñuble,San Carlos,ILUSTRE MUNICIPALIDAD DE SAN CARLOS,,CLP,2026-06-11,2026-06-22,2026-07-22,41,2026-06-11
407-87-LE26,REPUESTOS PARA EQUIPAMIENTO MEDICO,Publicada,LE,Región del Biobío,Santiago,HOSPITAL GUILLERMO GRANT BENAVENTE DE CO,,CLP,2026-06-11,2026-06-22,2026-08-24,17,2026-06-11
4559-22-L126,INSUMOS DE EQUIPAMIENTO BOX AVD SALA TEA,Revocada,L1,Región del Biobío,Los Alamos,I MUNICIPALIDAD DE LOS ALAMOS DEPTO COMUNAL,1500000.0,CLP,2026-06-10,2026-06-19,2026-06-29,2,2026-06-11
1057545-43-LP26,CONTRATACIÓN DE SERVICIOS DE MANTENCIÓN PREVENTIVA YO CORRECTIVA A EQUIPOS  MÉDICOS CRÍTICOS Y RELEVANTES PERTENECIENTES A LOS ESTABLECIMIENTOS DEPENDIENTES DEL SERVICIO DE SALUD LOS RÍOS,Adjudicada,LP,Región de Los Ríos,Valdivia,SERVICIO DE SALUD LOS RIOS,290258684.0,CLP,2026-05-06,2026-05-26,2026-06-11,11,2026-06-11
1180922-5-LP26,ADQUISICIÓN DE EQUIPOS Y EQUIPAMIENTO PARA CÁNCER DIGESTIVO HOSPITAL DE RÍO BUENO,Cerrada,LP,Región de Los Ríos,Valdivia,SERVICIO DE SALUD LOS RIOS,331239544.0,CLP,2026-05-20,2026-06-11,2026-09-09,5,2026-06-11
1350296-54-L126,ADQUISICION DE ELECTRODO ADHESIVO VARIOS PARA LA UNIDAD DE MEDICINA FISICA  Y CUIDADOS PALIATIVO DEL HOSPITAL ALTO HOSPICIO POR 7 MESES,Adjudicada,L1,Región Metropolitana de Santiago,Las Condes,HOSPITAL DE ALTO HOSPICIO,2646560.0,CLP,2026-05-15,2026-05-25,2026-06-11,4,2026-06-11
4452-9-LE26,CONTRATO DE ADQUISICIÓN DE CURSO DE APOYO VITAL AVANZADO PEDIÁTRICO PALS PARA EL HOSPITAL SAN JUAN DE DIOS DE CURICÓ,Cerrada,LE,Región del Maule,Curicó,SERVICIO DE SALUD DEL MAULE HOSPITAL DE CURICO,8500000.0,CLP,2026-06-04,2026-06-11,2026-07-27,1,2026-06-11
1180922-6-LP26,REPOSICIÓN MAMÓGRAFO PARA LA CLÍNICA MÓVIL DEL SERVICIO DE SALUD LOS RÍOS,Cerrada,LP,Región de Los Ríos,Valdivia,SERVICIO DE SALUD LOS RIOS,261272000.0,CLP,2026-05-20,2026-06-11,2026-09-09,1,2026-06-11
522-21-L126,"ADQUISICIÓN DE SESIONES DE ACTIVIDAD FÍSICA POR KINESIÓLOGO Y/O PROFESOR DE EDUCACIÓN FÍSICA, PROGRAMA DE SALUD CARDIOVASCULAR 2026",Publicada,L1,Región Metropolitana de Santiago,Maipú,HOSPITAL DE LITUECHE,3600000.0,CLP,2026-06-11,2026-06-16,2026-06-18,1,2026-06-11
1057509-117-L126,“CONVENIO COMPRA SERVICIOS DE MÉDICOS ESPECIALIDAD NEFROLOGÍA ADULTOS PARA REALIZAR CONSULTAS Y CONTROLES GES”  BRD,Cerrada,L1,Región Metropolitana de Santiago,Santiago,HOSPITAL CLINICO HERMINDA MARTIN,5760000.0,CLP,2026-06-03,2026-06-11,2026-06-22,1,2026-06-11
1260057-26-LE26,ADQUISICIÓN DE CURSOS DE CAPACITACIÓN PARA FUNCIONARIOS DEL HOSPITAL DE PEÑAFLOR,Publicada,LE,Región Metropolitana de Santiago,Peñaflor,SERVICIO NACIONAL DE SALUD HOSPITAL DE P,,CLP,2026-06-11,2026-06-23,2026-07-13,14,2026-06-11
769-54-LE26,INSUMOS ODONTOLOGIGOS APS SSA PP-69,Publicada,LE,Región de Antofagasta,Antofagasta,SERVICIO DE SALUD ANTOFAGASTA DIRECCION,,CLP,2026-06-11,2026-07-02,2026-08-28,2,2026-06-11
