codigo,nombre,estado,tipo,region,comuna,hospital,monto_estimado,moneda,fecha_publicacion,fecha_cierre,fecha_adjudicacion,cantidad_items,date_scraped
1549-44-LR26,INSUMOS PARA IMPLANTES DENTALES CON EQUIPAMIENTO,Adjudicada,LR,Región Metropolitana de Santiago,Independencia,SERVICIO DE SALUD METROPOLITANA NORTE HOSPITAL SAN JOSE,,CLP,2026-06-01,2026-07-06,2026-09-02,1,2026-09-02
1729-38-LE26,INSUMOS MANTENCION VEHICULOS MUNICIPALES,Adjudicada,LE,Región de Atacama,Tierra Amarilla,I MUNICIPALIDAD DE TIERRA AMARILLA,,CLP,2026-08-13,2026-08-24,2026-09-02,1,2026-09-02
2202-46-L126,"MANT. PREVENTIVO Y CORRECTIVO GRUPOS ELECTRÓGENOS, HOSPITAL DR. ÓSCAR HERNÁNDEZ ESCOBAR DE CURACAUTÍN – SECTOR CASONA",Publicada,L1,Región Metropolitana de Santiago,Las Condes,SERVICIO SALUD ARAUCANIA NORTE HOSPITAL CURACAUTIN,3000000.0,CLP,2026-09-02,2026-09-10,2026-09-12,1,2026-09-02
2658-300-L126,INSUMOS DE CONSTRUCCION,Publicada,L1,Región Metropolitana de Santiago,Las Condes,I MUNICIPALIDAD DE ANCUD,2000000.0,CLP,2026-09-02,2026-09-09,2026-09-14,9,2026-09-02
1057544-241-LE26,SUMINISTRO DE INSUMOS CLÍNICOS PARA EL HOSPITAL LAS HIGUERAS,Adjudicada,LE,Región del Biobío,Talcahuano,SERVICIO DE SALUD DE TALCAHUANO HOSPITAL,29000000.0,CLP,2026-07-14,2026-07-24,2026-09-02,12,2026-09-02
2284-29-L126,MEDICAMENTOS DESTINADOS AL AREA DE SALUD MUNICIPAL. SOLICITUD 6427-2026,Publicada,L1,Región de Los Ríos,Valdivia,I MUNICIPALIDAD VALDIVIA,4273000.0,CLP,2026-09-02,2026-09-07,2026-09-22,1,2026-09-02
2548-77-L126,INSUMOS PROGRAMA REHABILITACION INTEGRAL,Cerrada,L1,Región de la Araucanía,Padre Las Casas,I MUNICIPALIDAD DE PADRE LAS CASAS,5606076.0,CLP,2026-08-25,2026-09-02,2026-10-02,8,2026-09-02
3540-59-L126,INSUMOS PARA TALLER DE MANTENIMIENTO (P.2258),Cerrada,L1,Región Aysén del General Carlos Ibáñez del Campo,Coyhaique,DIVISION LOGISTICA DEL EJERCITO,370000.0,CLP,2026-08-24,2026-09-02,2026-10-02,19,2026-09-02
3587-18-LE26,INSUMOS ODONTOLOGICOS DSM CARAHUE AGOSTO 2026,Publicada,LE,Región de la Araucanía,Carahue,I MUNICIPALIDAD DE CARAHUE,10500000.0,CLP,2026-09-02,2026-09-14,2026-09-21,112,2026-09-02
1057851-1-L126,CONVENIO DE SUMINISTRO PARA LA ADQUISICIÓN DE INSUMOS ENFOCADOS EN REHABILITACIÓN PARA HOSPITAL CAUQUENES,Publicada,L1,Región del Maule,Cauquenes,SERVICIO DE SALUD DEL MAULE HOSPITAL DE CAUQUENES,4000000.0,CLP,2026-09-02,2026-09-15,2026-10-15,3,2026-09-02
