codigo,nombre,estado,tipo,region,comuna,hospital,monto_estimado,moneda,fecha_publicacion,fecha_cierre,fecha_adjudicacion,cantidad_items,date_scraped
1058085-115-LP26,CONVENIO SUMINISTRO DE SOLUCIONES DE DIFERENTES VÍAS DE ADMINISTRACIÓN G-6 EN CASO DE NO DESPACHO DE CENABAST PARA EL HOSPITAL DEL SALVADOR POR 36 MESES,Adjudicada,LP,Región Metropolitana de Santiago,Alhué,SERVICIO DE SALUD ORIENTE HOSPITAL DEL SALVADOR,328747000.0,CLP,2026-07-06,2026-07-27,2026-09-25,4,2026-09-25
1261-29-LE26,INSUMOS MERCHANDISING FONDO COMUNIDAD ACTIVA,Adjudicada,LE,Región Metropolitana de Santiago,Santiago Centro,GOBIERNO REGIONAL REGION METROPOLITANA,30940000.0,CLP,2026-08-27,2026-09-10,2026-09-25,1,2026-09-25
2996-29-L126,INSUMOS LABORATORIO CLINICO,Adjudicada,L1,Región de Coquimbo,Monte Patria,I MUNICIPALIDAD DE MONTEPATRIA,,CLP,2026-08-27,2026-09-02,2026-09-25,26,2026-09-25
3447-86-LR26,SUMINISTRO INSUMOS Y REPUESTOS DE IMPRESIÓN Y ACCE,Adjudicada,LR,Región de Tarapacá,Alto Hospicio,MUNICIPALIDAD DE ALTO HOSPICIO,,CLP,2026-05-20,2026-06-22,2026-09-25,10,2026-09-25
4559-27-LE26,INSUMOS SALA DE PROCEDIMIENTOS,Adjudicada,LE,Región del Biobío,Los Alamos,I MUNICIPALIDAD DE LOS ALAMOS DEPTO COMUNAL,,CLP,2026-08-05,2026-08-17,2026-09-25,26,2026-09-25
1417913-68-LP26,ADQUISICIÓN DE INSUMOS DE IMPRESORAS PARA LA CORPORACION MUNICIPAL DE DESARROLLO SOCIAL IQUIQUE,Adjudicada,LP,Región de Tarapacá,Iquique,CORP MUNICIPAL DE DESARROLLO SOCIAL DE IQUIQUE,,CLP,2026-06-22,2026-07-03,2026-09-25,5,2026-09-25
2048-62-LE26,CONVENIO SUMINISTRO DE INSUMOS TRAUMATOLÓGICOS PARA EL HOSPITAL DE ANCUD,Adjudicada,LE,Región de los Lagos,,SERVICIO DE SALUD CHILOE,,CLP,2026-08-18,2026-08-28,2026-09-25,15,2026-09-25
2658-278-L126,INSUMOS VARIOS PARA SOUVENIR,Revocada,L1,Región Metropolitana de Santiago,Las Condes,I MUNICIPALIDAD DE ANCUD,3700000.0,CLP,2026-08-27,2026-09-01,2026-09-03,1,2026-09-25
2952-17-LE26,INSUMOS ELECTRÓNICOS CON INTEGRACIÓN,Publicada,LE,Región del Biobío,Talcahuano,DIRECCION DE ABASTECIMIENTO DE LA ARMADA,42000.0,USD,2026-09-25,2026-10-07,2026-10-16,1,2026-09-25
4074-22-LP26,ADQ EQUIPOS E INSUMOS COMPUTACIONALES PARA U. EDUC,Adjudicada,LP,Región del Biobío,Yumbel,I MUNICIPALIDAD DE YUMBEL,133000000.0,CLP,2026-08-18,2026-09-08,2026-09-25,1,2026-09-25
