codigo,nombre,estado,tipo,region,comuna,hospital,monto_estimado,moneda,fecha_publicacion,fecha_cierre,fecha_adjudicacion,cantidad_items,date_scraped
1003473-38-LE26,CONTRATO DE SUMINISTRO DE RESINAS DENTALES MATERIALES PARA PROVISIONALES Y ACCESORIOS CLÍNICOS PARA EL HOSPITAL DE CURICO,Adjudicada,LE,Región del Maule,,SERVICIO DE SALUD DEL MAULE HOSPITAL DE CURICO,,CLP,2026-05-25,2026-06-04,2026-07-07,3,2026-07-07
1057489-150-LE26,CONVENIO DE SUMINISTRO DE PRÓTESIS TUMORAL REVERSA DE HOMBRO PARA HOSPITAL DEL SALVADOR,Adjudicada,LE,Región Metropolitana de Santiago,Providencia,SERVICIO DE SALUD ORIENTE HOSPITAL DEL SALVADOR,24702812.0,CLP,2026-05-26,2026-06-05,2026-07-07,1,2026-07-07
2107-109-LE26,SERVICIO DE MANTENCIÓN PREVENTIVA Y CORRECTIVA PARA MICROSCOPIO QUIRÚRGICO OFTALMOLÓGICO.,Publicada,LE,Región del Libertador General Bernardo O´Higgins,,SERVICIO DE SALUD HOSPITAL DE SANTA CRUZ,,CLP,2026-07-07,2026-07-21,2026-08-21,1,2026-07-07
3334-18-LE26,INSUMOS PARA CESFAM LA UNIÓN JULIO 2026,Publicada,LE,Región de Los Ríos,La Unión,I MUNICIPALIDAD DE LA UNION,,CLP,2026-07-07,2026-07-14,2026-08-31,49,2026-07-07
1003473-54-LE26,CONTRATO DE SUMINISTRO DE INSUMOS DENTALES PARA PROCEDIMIENTOS ODONTOLÓGICOS DE USO GENERAL EN EL HOSPITAL DE CURICÓ,Adjudicada,LE,Región del Maule,,SERVICIO DE SALUD DEL MAULE HOSPITAL DE CURICO,,CLP,2026-05-25,2026-06-04,2026-07-07,10,2026-07-07
3611-7-LE26,ARRIENDO DE VEHÍCULOS TIPO CAMIONETA PARA TRASLADOS DEL DEPARTAMENTO DE SALUD MUNICIPAL DE SAAVEDRA,Cerrada,LE,Región de la Araucanía,Puerto Saavedra,I MUNICIPALIDAD DE SAAVEDRA,35000000.0,CLP,2026-06-24,2026-07-07,2026-07-27,2,2026-07-07
1242140-7-LE26,CONVENIO POR SERVICIO DE TRASLADO PARA EL PROGRAMA PAI DESARROLLA DEL HOSPITAL PROVINCIAL DE OVALLE,Adjudicada,LE,Región de Coquimbo,,SERVICIO DE SALUD COQUIMBO HOSPITAL DE O,,CLP,2026-06-11,2026-06-22,2026-07-07,1,2026-07-07
2408-133-LE26,SERVICIO DE AUDITORÍA A LA GESTIÓN MUNICIPAL SALUD Y CEMENTERIO PERIODOS 2021-2022-2023 2024 Y 2025,Cerrada,LE,Región del Biobío,Los Angeles,I MUNICIPALIDAD DE LOS ANGELES,60000000.0,CLP,2026-06-24,2026-07-07,2026-09-08,1,2026-07-07
1003473-42-LE26,CONTRATO DE SUMINISTRO DE INSUMOS PARA RESTAURACIÓN Y AISLAMIENTO ODONTOLÓGICO PARA EL HOSPITAL DE CURICÓ,Adjudicada,LE,Región del Maule,,SERVICIO DE SALUD DEL MAULE HOSPITAL DE CURICO,,CLP,2026-05-25,2026-06-04,2026-07-07,11,2026-07-07
1063538-164-LE26,CONVENIO SUMINISTRO DE INSUMOS Y MATERIALES DIVERSOS PARA U. MED.FIS. Y REHABILITACION DE HBSJO,Publicada,LE,Región de los Lagos,Osorno,HOSPITAL BASE OSORNO,,CLP,2026-07-07,2026-07-14,2026-09-11,29,2026-07-07
1389488-26-LE26,INSUMOS Y ARTÍCULOS AGRÍCOLAS PARA LAS ESPECIALIDA,Adjudicada,LE,Región del Maule,Linares,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA DE LOS ÁLAMOS,18888154.0,CLP,2026-06-05,2026-06-15,2026-07-07,1,2026-07-07
564162-58-L126,SOLICITUD N° 91238 - REACTIVOS E INSUMOS DE LABORATORIO - CC 112 / PS 1891,Adjudicada,L1,Región Metropolitana de Santiago,Estación Central,UNIVERSIDAD DE SANTIAGO DE CHILE,2147950.0,CLP,2026-06-12,2026-06-19,2026-07-07,9,2026-07-07
2080-214-LE26,SUMINISTRO INSUMOS PARA CENTRAL ESTERILIZACIÓN,Cerrada,LE,Región del Libertador General Bernardo O´Higgins,Rancagua,SERVICIO DE SALUD DEL LIBERTADOR B O'HIGGINS HOSPITAL REG RANCAGUA,,CLP,2026-06-26,2026-07-07,2026-08-31,34,2026-07-07
1003473-39-LE26,CONTRATO DE SUMINISTRO DE RESINAS DENTALES PARA EL HOSPITAL DE CURICO,Adjudicada,LE,Región del Maule,,SERVICIO DE SALUD DEL MAULE HOSPITAL DE CURICO,,CLP,2026-05-25,2026-06-04,2026-07-07,9,2026-07-07
1233600-39-LE26,SERVICIO DE REMODELACION DEPENDENCIAS PNAC SALUD,Publicada,LE,Región Metropolitana de Santiago,Renca,CORP MUNICIPAL DE RENCA,,CLP,2026-07-07,2026-07-23,2026-08-03,1,2026-07-07
799512-37-LP26,COMPRA DE PRODUCTOS FARMACÉUTICOS,Cerrada,LP,Región de Valparaíso,Valparaíso,CORP MUNICIPAL DE VALPARAISO PARA EL DESARROLLO SOCIAL,87895272.0,CLP,2026-06-23,2026-07-07,2026-07-21,8,2026-07-07
