codigo,nombre,estado,tipo,region,comuna,hospital,monto_estimado,moneda,fecha_publicacion,fecha_cierre,fecha_adjudicacion,cantidad_items,date_scraped
1017312-18-LP26,SERVICIO DE PRESTACIONES MÉDICAS AMBULATORIAS PARA EL SISTEMA DE SALUD NAVAL EN LA REGIÓN DE AYSEN,Publicada,LP,Región Aysén del General Carlos Ibáñez del Campo,Viña del Mar,DIRECCION DE ABASTECIMIENTO DE LA ARMADA,140000000.0,CLP,2026-09-24,2026-11-09,2027-02-18,1,2026-09-24
1057420-37-LP26,CONVENIO DE SUMINISTRO PARA EL SERVICIO DE TRASLADO DE FUNCIONARIOS EN ACTIVIDADES DOMICILIARIAS Y TERRENO DEL HOSPITAL DE LA FAMILIA Y LA COMUNIDAD DE HUÉPIL POR EL PERIODO DE 24 MESES 3ER LLAMADO,Revocada,LP,Región del Biobío,Tucapel,SERVICIO DE SALUD BIO BIO HOSPITAL DE HU,80000000.0,CLP,2026-08-26,2026-09-15,2026-09-25,1,2026-09-24
1057501-316-R126,CONVENIO INSUMOS VARIOS HEMODINAMIA II,Adjudicada,LP,Región Metropolitana de Santiago,Puente Alto,COMPLEJO ASISTENCIAL DR. SOTERO DEL RIO,,CLP,2026-06-11,2026-07-02,2026-09-24,5,2026-09-24
1111432-66-LP26,CONVENIO DE SUMINISTRO DE INSUMOS CLINICOS,Publicada,LP,Región de Valparaíso,,CONSULTORIO GENERAL URBANO SAN FELIPE,,CLP,2026-09-24,2026-10-14,2026-10-27,58,2026-09-24
2086-11-L126,SERVICIO DE CONFECCIÓN DE 9 CALEFACTORES PARA SALA TÉRMICA HOSPITAL DE TOCOPILLA,Desierta (o art. 3 ó 9 Ley 19.886),L1,Región de Antofagasta,Tocopilla,SERVICIO DE SALUD ANTOFAGASTA HOSPITAL M,6500000.0,CLP,2026-08-14,2026-08-27,2026-09-24,1,2026-09-24
2284-36-L126,SUMINISTRO DE ECOGRAFIAS MAMARIAS DESTINADAS AL AREA DE SALUD MUNICIPAL. SOLICITUD 6478-2026,Publicada,L1,Región de Los Ríos,Valdivia,I MUNICIPALIDAD VALDIVIA,7164000.0,CLP,2026-09-24,2026-10-01,2026-10-16,1,2026-09-24
3191-79-LP26,SUMINISTRO REP. COMPATIBLES EQUIP. MÉDICO HAMILTON,Adjudicada,LP,Región de Valparaíso,Viña del Mar,DIRECCION DE ABASTECIMIENTO DE LA ARMADA,115000000.0,CLP,2026-08-04,2026-08-24,2026-09-24,21,2026-09-24
4776-49-LP26,CONTRATACION DEL SERVICIO DE LAVADO DE ROPA HOSPITALARIA PARA EL CENTRO DE REHABILITACION CAPREDENA LA FLORIDA.,Adjudicada,LP,Región Metropolitana de Santiago,,CAJA DE PREVISION DE LA DEFENSA NACIONAL,,CLP,2026-07-31,2026-08-24,2026-09-24,1,2026-09-24
5349-115-L126,ADQUISICIÓN DE CARROS TRANSPORTA BANDEJAS PARA EL HOSPITAL PROVINCIAL DEL HUASCO,Publicada,L1,Región de Atacama,Vallenar,HOSPITAL PROVINCIAL   DEL HUASCO MSR FERNANDO ARIZTIA RUIZ,5000000.0,CLP,2026-09-24,2026-10-02,2026-11-02,1,2026-09-24
5586-150-LE26,BC ADQUISICIÓN DE INSUMOS DENTALES,Publicada,LE,Región de la Araucanía,Temuco,UNIVERSIDAD DE LA FRONTERA,,CLP,2026-09-24,2026-10-06,2026-11-06,9,2026-09-24
1057494-64-LP26,INSUMOS PARA UNIDADES DE ESTERILIZACIÓN Y FARMACIA,Publicada,LP,Región Metropolitana de Santiago,San Miguel,SERVICIO DE SALUD SUR HOSPITAL EXEQUIEL,,CLP,2026-09-24,2026-10-14,2026-11-23,20,2026-09-24
1947-136-LE26,CONTRATACIÓN DEL SERVICIO DE MANTENIMIENTO CORRECTIVO PARA SET DE ENDOSCOPIOS PARA EL HOSPITAL DE NIÑOS DR. ROBERTO DEL RÍO GRS,Adjudicada,LE,Región Metropolitana de Santiago,,SERVICIO DE SALUD NORTE HOSPITAL ROBERTO DEL RIO,,CLP,2026-08-25,2026-09-04,2026-09-24,1,2026-09-24
1952-75-LP26,SERVICIO DE ORIENTACIÓN PARA EL HOSPITAL VILLARRICA,Publicada,LP,Región de la Araucanía,Villarrica,HOSPITAL VILLARRICA,,CLP,2026-09-24,2026-10-14,2027-01-14,1,2026-09-24
2109-10-LR25,INSUMOS PARA TUTOR EXTERNO AO.,Adjudicada,LR,Región Metropolitana de Santiago,Santiago Centro,SERVICIO DE SALUD OCCIDENTE INSTITUTO TRAUMATOLOGICO DE SANTIAGO,,CLP,2026-01-12,2026-02-11,2026-09-24,25,2026-09-24
2963-35-LE26,SEGURO DE ACCIDENTES PARA PRESTADORES DE SERVICIOS A HONORARIOS DE LA DIRECCIÓN DE SALUD”,Publicada,LE,Región Metropolitana de Santiago,La Granja,I MUNICIPALIDAD DE LA GRANJA,15000000.0,CLP,2026-09-24,2026-10-05,2026-11-03,1,2026-09-24
3611-13-LE26,ADQUISICIÓN DE LICENCIAS MICROSOFT PARA DEPARTAMENTO DE SALUD,Publicada,LE,Región de la Araucanía,Puerto Saavedra,I MUNICIPALIDAD DE SAAVEDRA,7776000.0,CLP,2026-09-24,2026-10-05,2026-10-30,2,2026-09-24
564162-131-L126,SOLICITUD N°92978 - INSUMOS LABORATORIO - CC112 / PS1931,Publicada,L1,Región Metropolitana de Santiago,Estación Central,UNIVERSIDAD DE SANTIAGO DE CHILE,4659500.0,CLP,2026-09-24,2026-10-01,2026-11-13,8,2026-09-24
568658-69-LP26,SUMINISTRO INTEGRAL DE INSUMOS DE LABORATORIO PARA LA CMVM,Publicada,LP,Región de Valparaíso,Viña del Mar,CORPORACION MUNICIPAL VINA DEL MAR PARA EL DESARROLLO SOCIAL,,CLP,2026-09-24,2026-10-19,2026-11-06,1,2026-09-24
1057544-295-LE26,COMPRA POR SUMINISTRO DE DISPOSITIVOS MÉDICOS PRÓTESIS E INSUMOS QUIRÚRGICOS,Adjudicada,LE,Región del Biobío,Talcahuano,SERVICIO DE SALUD DE TALCAHUANO HOSPITAL,65000000.0,CLP,2026-09-01,2026-09-11,2026-09-24,8,2026-09-24
2792-12-L126,CAPACITACIÓN PARA PROMOTORES DE SALUD COMUNITARIOS CECOSF LOS LIBERTADORES,Publicada,L1,Región Metropolitana de Santiago,Huechuraba,MUNICIPALIDAD DE HUECHURABA,,CLP,2026-09-24,2026-10-01,2026-11-02,1,2026-09-24
2832-32-LE26,SEGUNDO LLAMADO A LICITACIÓN PÚBLICA PARA CTTO. DE SUMINISTRO OXÍGENO DOMICILIARIO DEPARTAMENTO DE SALUD QUILLOTA,Publicada,LE,Región de Valparaíso,Quillota,I MUNICIPALIDAD DE QUILLOTA,10000000.0,CLP,2026-09-24,2026-10-05,2026-11-05,1,2026-09-24
5349-101-L126,SERVICIO DE MANTENIMIENTO PREVENTIVO A EQUIPOS MÉDICOS QUE INCLUYE REPUESTOS DEL HOSPITAL,Desierta (o art. 3 ó 9 Ley 19.886),L1,Región de Atacama,Vallenar,HOSPITAL PROVINCIAL   DEL HUASCO MSR FERNANDO ARIZTIA RUIZ,6637600.0,CLP,2026-09-10,2026-09-21,2026-09-24,6,2026-09-24
1057430-63-LE26,CONVENIO DE SUMINISTROS INSUMOS DE UROLOGÍA,Cerrada,LE,Región del Biobío,Lota,SERVICIO NACIONAL DE SALUD HOSPITAL DE LOTA,,CLP,2026-09-14,2026-09-24,2026-11-24,16,2026-09-24
