codigo,nombre,estado,tipo,region,comuna,hospital,monto_estimado,moneda,fecha_publicacion,fecha_cierre,fecha_adjudicacion,cantidad_items,date_scraped
1057402-307-LP25,INSUMOS TOMA DE MUESTRAS CR. LABORATORIO CLÍNICO,Adjudicada,LP,Región de Magallanes y de la Antártica,,HOSPITAL CLINICO DE MAGALLANES DR. LAUTARO NAVARRO AVARIA,,CLP,2025-12-29,2026-01-20,2026-06-22,42,2026-06-22
5326-10-LE26,INSUMOS CLINICOS STOCK BODEGA II,Publicada,LE,Región del Libertador General Bernardo O´Higgins,Rengo,SERVICIO DE SALUD HOSPITAL DE RENGO,,CLP,2026-06-22,2026-06-30,2026-07-15,25,2026-06-22
1079650-35-L126,ADQUISICIÓN MESA DE OPERACIONES PARA HOSPITAL DE CORONEL,Publicada,L1,Región del Biobío,San Pedro de La Paz,SERVICIO DE SALUD CONCEPCION,5400000.0,CLP,2026-06-22,2026-06-30,2026-08-09,1,2026-06-22
1398-58-LE26,CAPACITACIONES RESPUESTAS EMERGENCIAS CLÍNICAS,Publicada,LE,Región del Libertador General Bernardo O´Higgins,Rancagua,SERVICIO DE SALUD LIBERTADOR BDO OHIGGINS,,CLP,2026-06-22,2026-06-30,2026-07-30,4,2026-06-22
1979-93-LP26,103.26 “CONVENIO DE SUMINISTRO DE INSUMOS TOMA DE MUESTRA DE SANGRE PARA LABORATORIO NODO COSTERO: HOSPITAL DE NUEVA IMPERIAL”.,Adjudicada,LP,Región de la Araucanía,Nueva Imperial,SERVICIO DE SALUD ARAUCANIA SUR HOSPITAL DE NUEVA IMPERIAL,,CLP,2026-04-30,2026-05-20,2026-06-22,6,2026-06-22
699866-77-LP26,ADQUISICIÓN DE ASAS BIPOLARES INTRODUCTOR PERCUTANEO SET DE ECMO Y OTROS INSUMOS DE DIVERSOS SERVICIOS CLINICOS,Publicada,LP,Región del Maule,Talca,SERVICIO DE SALUD DEL MAULE HOSPITAL DE TALCA,,CLP,2026-06-22,2026-07-07,2026-08-10,10,2026-06-22
1057402-293-LR25,INSUMOS HEMODINAMIA VASCULAR,Adjudicada,LR,Región de Magallanes y de la Antártica,,HOSPITAL CLINICO DE MAGALLANES DR. LAUTARO NAVARRO AVARIA,,CLP,2025-12-11,2026-01-12,2026-06-22,26,2026-06-22
1514-87-LP26,CONVENIO DE SUMINISTRO DE MEDICAMENTO DERMATOLOGIA PARA EL HOSPITAL DE CASTRO,Publicada,LP,Región de los Lagos,,SERVICIO DE SALUD CHILOE,,CLP,2026-06-22,2026-07-03,2026-08-04,1,2026-06-22
1947-116-LE26,CONTRATACIÓN DE SERVICIO DE SESIONES FOTOTERAPIA UVB PARA EL HOSPITAL DE NIÑOS DR. ROBERTO DEL RÍO,Publicada,LE,Región Metropolitana de Santiago,Independencia,SERVICIO DE SALUD NORTE HOSPITAL ROBERTO DEL RIO,,CLP,2026-06-22,2026-07-02,2026-08-03,1,2026-06-22
4315-8-LE26,NOTEBOOK IMPRESORAS PROYECTORES E INSUMOS PARA ESCUELAS DE LA COMUNA  DE CUREPTO,Desierta (o art. 3 ó 9 Ley 19.886),LE,Región del Maule,Curepto,ILUSTRE MUNICIPALIDAD DE CUREPTO,,CLP,2026-05-28,2026-06-08,2026-06-22,1,2026-06-22
