codigo,nombre,estado,tipo,region,comuna,hospital,monto_estimado,moneda,fecha_publicacion,fecha_cierre,fecha_adjudicacion,cantidad_items,date_scraped
1070620-60-LE26,NPP SUM. DISP. MÉDICO DIAGNÓSTICO ROTURA MEMBRANA,Publicada,LE,Región de Tarapacá,Iquique,HOSPITAL DOCTOR ERNESTO TORRES GALDAMES,,CLP,2026-06-18,2026-06-23,2026-08-04,1,2026-06-18
557974-12-LP26,SERVICIO LABORATISTA DENTAL PARA CONFECCION DE PROTESIS DENTALES REMOVIBLES Y REPARACIONES CENTROS DE SALUD CMQ,Adjudicada,LP,Región de Valparaíso,Quilpué,"CORPORACION MUNICIPAL DE EDUCACION,SALUD,CULTURA Y ATENCION AL MENOR,",,CLP,2026-05-22,2026-06-10,2026-06-18,2,2026-06-18
1067355-2-L126,CONVENIO SUMINISTRO PRÓTESIS FIJA HOSPITAL SANTA ELISA,Cerrada,L1,Región Metropolitana de Santiago,Santiago,HOSPITAL SANTA ELISA DE SAN JOSE DE LA MARIQUINA,5200000.0,CLP,2026-06-11,2026-06-18,2026-07-18,6,2026-06-18
4457-51-L126,C.S SERVICIO CONTROL DE PLAGAS SALUD MUNICIPAL HUALQUI.,Cerrada,L1,Región del Biobío,Hualqui,I MUNICIPALIDAD DE HUALQUI,4500000.0,CLP,2026-06-09,2026-06-18,2026-07-08,1,2026-06-18
4642-74-LE26,ADQUISICIÓN DE BATERIAS DE EVALUACIÓN Y CRANEOMETROS DESTINADOS A LAS SALAS DE ESTIMULACIÓN TEMPRANA DEPENDIENTES DE LA RED SALUD CARABINEROS.,Publicada,LE,Región Metropolitana de Santiago,,DIRECCION DE LOGISTICA DE CARABINEROS,47600750.0,CLP,2026-06-18,2026-06-30,2026-07-21,4,2026-06-18
652-26-LE26,ADQUISICION INSUMOS DENTALES,Publicada,LE,Región del Biobío,Lebu,SERVICIO DE SALUD ARAUCO,22557600.0,CLP,2026-06-18,2026-06-25,2026-07-01,3,2026-06-18
642028-6-LP26,SUMINISTRO DE IMPRESORAS CON PROVISIÓN DE INSUMOS,Adjudicada,LP,Región Metropolitana de Santiago,Melipilla,CORP MUNICIPAL MELIPILLA PARA LA ED SALUD,243773760.0,CLP,2026-05-04,2026-05-19,2026-06-18,2,2026-06-18
1057472-80-LE26,SUMINISTRO DE INSUMOS DE GINECOLOGÍA,Publicada,LE,Región Metropolitana de Santiago,Maipú,HOSPITAL CLINICO METROPOLITANO EL CARMEN DOCTOR LUIS VALENTIN FERRADA,,CLP,2026-06-18,2026-06-23,2026-08-23,2,2026-06-18
2140-7-LP26,ARRIENDO DE  AUTOCLAVE - HOSPITAL FUTALEUFU,Adjudicada,LP,Región de los Lagos,Futaleufú,SERVICIO SALUD DEL RELONCAVI,,CLP,2026-04-28,2026-05-18,2026-06-18,1,2026-06-18
1057508-58-LE26,INSUMOS DENTALES PARA LA RED DE ATENCIÓN PRIMARIA,Revocada,LE,Región del Ñuble,,SERVICIO DE SALUD NUBLE,35000000.0,CLP,2026-05-08,2026-05-20,2026-06-19,6,2026-06-18
1274189-3-LR26,CONTRATACION DEL SERVICIO DE LABORATORIO PARA LOS CENTROS DE SALUD DE ATENCIÓN PRIMARIA DE LA COMUNA DE BUIN,Publicada,LR,Región Metropolitana de Santiago,Buin,CORPORACION DE DESARROLLO SOCIAL DE BUIN,1620000000.0,CLP,2026-06-18,2026-07-20,2026-08-17,1,2026-06-18
2126-18-LP26,CONVENIO POR SERVICIOS DE MANTENIMIENTOS PREVENTIVOS CORRECTIVOS Y CAMBIO DE BATERÍAS PARA VENTILADORES MECANICOS DEL HOSPITAL SAN PABLO DE COQUIMBO,Desierta (o art. 3 ó 9 Ley 19.886),LP,Región de Coquimbo,,SERVICIO DE SALUD COQUIMBO HOSPITAL DE COQUIMBO,296042710.0,CLP,2026-04-01,2026-04-21,2026-06-18,11,2026-06-18
1063535-6-LR26,FARMACOS ORALES INYECTABLES Y OTROS,Adjudicada,LR,Región de los Lagos,Osorno,HOSPITAL BASE OSORNO,,CLP,2026-03-10,2026-04-09,2026-06-18,28,2026-06-18
1079596-23-LE26,ADQUISICION DE INSUMOS COMPUTACIONALES.,Adjudicada,LE,Región de Arica y Parinacota,Arica,DIRECCION DE LOGISTICA DE CARABINEROS,7577842.0,CLP,2026-06-04,2026-06-15,2026-06-18,11,2026-06-18
1057540-58-LE26,INSUMOS PARA VAC Y EQUIPO EN COMODATO,Publicada,LE,Región del Biobío,Penco,SERVICIO SALUD TALCAHUANO HOSPITAL PENCO-LIRQUEN,,CLP,2026-06-18,2026-06-30,2026-07-30,1,2026-06-18
1058097-12-LP26,ADQUISICIÓN DE PREPARADOS MAGISTRALES POR CONVENIO DE SUMINISTRO PARA EL HOSPITAL PADRE ALBERTO HURTADO,Publicada,LP,Región Metropolitana de Santiago,San Ramón,HOSPITAL PADRE ALBERTO HURTADO,206000000.0,CLP,2026-06-18,2026-07-08,2026-10-06,7,2026-06-18
1754-18-LE26,INSUMOS DENTALES Y ENDODONCIA 12 MESES,Publicada,LE,Región del Maule,Parral,DEPARTAMENTO DE SALUD PARRAL,24000000.0,CLP,2026-06-18,2026-06-30,2026-07-10,2,2026-06-18
2258-126-LR26,INSUMOS PARA DONACION DE SANGRE CON EQUIPO EN COMODATO,Publicada,LR,Región de Antofagasta,Recoleta,SERVICIO DE SALUD ANTOFAGASTA HOSPITAL L,,CLP,2026-06-18,2026-07-21,2026-09-21,1,2026-06-18
3614-23-L126,MEDICAMENTOS FARMACIA MUNICIPAL II LLAMADO,Publicada,L1,Región de Coquimbo,,I MUNICIPALIDAD DE VICUNA,,CLP,2026-06-18,2026-06-30,2026-07-15,8,2026-06-18
