codigo,nombre,estado,tipo,region,comuna,hospital,monto_estimado,moneda,fecha_publicacion,fecha_cierre,fecha_adjudicacion,cantidad_items,date_scraped
956-39-LE26,ADQUISICIÓN DE INCUBADORA DE TRANSPORTE PARA EL HOSPITAL CARLOS VAN BUREN,Adjudicada,LE,Región de Valparaíso,Valparaíso,SERVICIO DE SALUD VALPARAISO SAN ANTONIO,33385450.0,CLP,2026-05-14,2026-06-01,2026-06-19,1,2026-06-19
1002772-23-LP26,SUMINISTRO REACTIVOS E INSUMOS COMP. EQUIPO BOND,Adjudicada,LP,Región Metropolitana de Santiago,,SERVICIO SALUD OCCIDENTE HOSPITAL DR FELIX BULNES CERDA,,CLP,2026-03-13,2026-03-27,2026-06-19,45,2026-06-19
1057420-22-L126,"CONVENIO DE SUMINISTRO DE ALIMENTOS PARA REGÍMENES ESPECIALES DE PACIENTES DEL HOSPITAL DE HUÉPIL, CON ENTREGAS PARCIALIZADAS, POR 24 MESES",Publicada,L1,Región del Biobío,Tucapel,SERVICIO DE SALUD BIO BIO HOSPITAL DE HU,2240000.0,CLP,2026-06-19,2026-06-26,2026-07-06,1,2026-06-19
1549-23-LR26,SUMINISTRO DE INSUMOS PARA CIRUGÍAS DE VITRECTOMÍA,Adjudicada,LR,Región Metropolitana de Santiago,Independencia,SERVICIO DE SALUD METROPOLITANA NORTE HOSPITAL SAN JOSE,,CLP,2026-03-27,2026-04-27,2026-06-19,2,2026-06-19
3471-30-LP26,FOMULARIOS PARA HOSPITAL DE CARABINEROS 12 MESES.,Adjudicada,LP,Región Metropolitana de Santiago,Ñuñoa,DIRECCION DE LOGISTICA DE CARABINEROS,,CLP,2026-04-15,2026-05-14,2026-06-19,72,2026-06-19
2307-5-R126,ADQUISICIÓN DISPOSITIVOS MÉDICOS PARA ESTABLECIMIENTOS DE SALUD REQ N° 3.482,Adjudicada,LE,Región de los Lagos,,I MUNICIPALIDAD DE OSORNO,,CLP,2026-02-13,2026-02-20,2026-06-19,39,2026-06-19
2778-32-LE26,EQUIPOS E INSUMOS COMPUTACIONALES ESCUELA LUIS GALDAMES,Publicada,LE,Región del Libertador General Bernardo O´Higgins,Chépica,I MUNICIPALIDAD DE RENGO,,CLP,2026-06-19,2026-06-25,2026-07-20,2,2026-06-19
619133-68-LP26,SERVICIOS DE TOMA DE BIOPSIA CORE MAMARIA Y BIOPSIA MAMARIA BAJO GUÍA ESTEREOTÁXICA DIGITAL BED” PARA EL HOSPITAL SAN CAMILO DE SAN FELIPE.,Publicada,LP,Región de Valparaíso,San Felipe,SERVICIO SALUD SAN FELIPE LOS ANDES HOSP,,CLP,2026-06-19,2026-07-09,2026-09-30,2,2026-06-19
1057480-20-LE26,ADQUIRIR EL SERVICIO DE MONITOREO DE CALIDAD DE EFLUENTES Y RESIDUOS LÍQUIDOS PARA EL HOSPITAL SAN JOSÉ DE MELIPILLA.,Adjudicada,LE,Región Metropolitana de Santiago,Melipilla,HOSPITAL DE MELIPILLA,,CLP,2026-05-11,2026-05-22,2026-06-19,1,2026-06-19
1180877-5-LE26,ADQUISICIÓN DE EQUIPOS DE DIAGNÓSTICO OFTALMOLÓGICO PARA EL HOSPITAL CARLOS VAN BUREN,Adjudicada,LE,Región de Valparaíso,Valparaíso,SERVICIO DE SALUD VALPARAISO SAN ANTONIO,40828000.0,CLP,2026-05-05,2026-05-18,2026-06-19,4,2026-06-19
2126-37-LR26,CONVENIO DE SUMINISTROS POR PAQUETES DE CIRUGÍA UNIVERSAL PARA EL HOSPITAL SAN PABLO DE COQUIMBO POR 30 MESES,Desierta (o art. 3 ó 9 Ley 19.886),LR,Región de Coquimbo,Coquimbo,SERVICIO DE SALUD COQUIMBO HOSPITAL DE COQUIMBO,678000000.0,CLP,2026-03-20,2026-04-20,2026-06-19,1,2026-06-19
2332-55-L126,CONTRATO DE SUMINISTRO SERVICIO DE LICENCIAS MÉDICAS ELECTRÓNICAS PARA EL DEPARTAMENTO DE SALUD MUNICIPAL,Adjudicada,L1,Región de los Lagos,Puerto Montt,I MUNICIPALIDAD DE PUERTO MONTT,6900000.0,CLP,2026-06-05,2026-06-10,2026-06-19,1,2026-06-19
3378-18-LP26,SUMINISTRO INSUMOS QUIMIOTERAPIA AMBULATORIA PARA ATENCIÓN DE PACIENTES EN EL HOSPITAL MILITAR DE SANTIAGO CON ENTREGA MANTENCIÓN CORRECTIVA Y PREVENTIVA DE EQUIPAMIENTO EN COMODATO POR UN PERÍODO DE 48 MESES,Adjudicada,LP,Región Metropolitana de Santiago,La Reina,DIVISION LOGISTICA DEL EJERCITO,,CLP,2026-04-02,2026-04-22,2026-06-19,1,2026-06-19
1057501-283-LE26,PROGRAMACIÓN Y REPOSICIÓN REACTIVOS E INSUMOS [12],Publicada,LE,Región Metropolitana de Santiago,Puente Alto,COMPLEJO ASISTENCIAL DR. SOTERO DEL RIO,,CLP,2026-06-19,2026-06-30,2026-07-31,32,2026-06-19
2381-80-R126,ADQUISICIÓN DE INSUMOS Y ACCESORIOS DENTALES,Adjudicada,LP,Región de Atacama,Copiapó,I MUNICIPALIDAD DE COPIAPO,,CLP,2025-12-29,2026-01-26,2026-06-19,180,2026-06-19
2658-203-L126,INSUMOS DE CONSTRUCCION,Publicada,L1,Región Metropolitana de Santiago,Las Condes,I MUNICIPALIDAD DE ANCUD,3000000.0,CLP,2026-06-19,2026-06-25,2026-06-28,12,2026-06-19
1057509-152-LE26,“CONVENIO MANTENCIÓN PREVENTIVA Y CORRECTIVA DE CLÍNICAS DENTALES”  BRD,Cerrada,LE,Región del Ñuble,Chillán,HOSPITAL CLINICO HERMINDA MARTIN,39540180.0,CLP,2026-06-12,2026-06-19,2026-07-03,1,2026-06-19
3765-15-LE26,CONVENIO DE SUMINISTRO DE LENTES PARA HOSPITAL DR.,Adjudicada,LE,Región Aysén del General Carlos Ibáñez del Campo,Chile Chico,SERVICIO NACIONAL DE SALUD HOSPITAL DE C,,CLP,2026-05-27,2026-06-04,2026-06-19,1,2026-06-19
3996-28-LE26,2° CONTRATO SUMINISTRO - INSUMOS DE ENFERMERÍA - CENTRO DE DIÁLISIS,Cerrada,LE,Región del Libertador General Bernardo O´Higgins,Coltauco,I MUNICIPALIDAD DE COLTAUCO,30100000.0,CLP,2026-06-09,2026-06-19,2026-06-30,42,2026-06-19
