codigo,nombre,estado,tipo,region,comuna,hospital,monto_estimado,moneda,fecha_publicacion,fecha_cierre,fecha_adjudicacion,cantidad_items,date_scraped
2107-73-LE26,ADQUISICIÓN DE INSUMOS GENERALES PARA REPOSICION DE STOCK BODEGA CENTRAL,Publicada,LE,Región del Libertador General Bernardo O´Higgins,Santa Cruz,SERVICIO DE SALUD HOSPITAL DE SANTA CRUZ,,CLP,2026-05-12,2026-05-25,2026-06-25,26,2026-05-12
418-26-LE26,COMPRA DE SERVICIOS MÉDICOS PARA TURNOS EN UNIDAD DE TERAPIA INTERMEDIA,Publicada,LE,Región Aysén del General Carlos Ibáñez del Campo,Aysén,SERVICIO NACIONAL DE SALUD HOSPITAL DE PUERTO AYSEN,,CLP,2026-05-12,2026-05-22,2026-07-01,1,2026-05-12
1267885-13-LE26,SALUD-ADQUISICION DE NEUMATICOS AREA SALUD,Cerrada,LE,Región de Los Ríos,Panguipulli,CORP MUNICIPAL DE PANGUIPULLI,12500000.0,CLP,2026-04-28,2026-05-12,2026-05-20,8,2026-05-12
3334-9-LE26,INSUMOS DENTALES PRIMER SEMESTRE,Cerrada,LE,Región de Los Ríos,La Unión,I MUNICIPALIDAD DE LA UNION,,CLP,2026-05-05,2026-05-12,2026-06-30,75,2026-05-12
2107-72-LE26,MEDICAMENTOS PARA REPOSICIÓN DE STOCK DE FARMACIA,Publicada,LE,Región del Libertador General Bernardo O´Higgins,Santa Cruz,SERVICIO DE SALUD HOSPITAL DE SANTA CRUZ,,CLP,2026-05-12,2026-05-25,2026-06-25,22,2026-05-12
2145-34-L126,ICITACION PUBLICA ENDODONCIA LISTA DE ESPERA HOSPITAL SAN PEDRO DE LOS VILOS,Publicada,L1,Región de Coquimbo,Los Vilos,SERVICIO DE SALUD COQUIMBO HOSPITAL DE LOS VILOS,1701840.0,CLP,2026-05-12,2026-05-18,2026-08-27,1,2026-05-12
1596-9-LP26,REP. VEHÍCULOS DE EMERGENCIA HOSPITAL DE HUALAÑÉ,Desierta (o art. 3 ó 9 Ley 19.886),LP,Región del Maule,Talca,GOBIERNO REGIONAL VII REGION,179434000.0,CLP,2026-01-26,2026-02-16,2026-05-12,1,2026-05-12
1643-48-LP26,SERVICIO DE MOVILIZACIÓN UNIDADES HOSPITALARIAS,Publicada,LP,Región Metropolitana de Santiago,Talagante,SERVICIO NACIONAL DE SALUD HOSPITAL DE T,,CLP,2026-05-12,2026-05-22,2026-07-21,1,2026-05-12
2126-22-LE26,CONVENIO DE ADQUISICIÓN POR EQUIPO VIDEOBRONCOSCOPIO SUB.29 PARA EL HOSPITAL SAN PABLO DE COQUIMBO,Adjudicada,LE,Región de Coquimbo,Coquimbo,SERVICIO DE SALUD COQUIMBO HOSPITAL DE COQUIMBO,31000000.0,CLP,2026-03-20,2026-04-02,2026-05-12,1,2026-05-12
