codigo,nombre,estado,tipo,region,comuna,hospital,monto_estimado,moneda,fecha_publicacion,fecha_cierre,fecha_adjudicacion,cantidad_items,date_scraped
1057935-8-LP26,ADQUISICIÓN DE MONITORES DESFIBRILADORES PARA ESTABLECIMIENTOS DEPENDIENTES DEL SERVICIO DE SALUD LOS RÍOS,Cerrada,LP,Región de Los Ríos,Valdivia,SERVICIO DE SALUD LOS RIOS,90716080.0,CLP,2026-05-13,2026-06-04,2026-09-02,2,2026-06-04
1191382-6-LE26,PP 604-2026  SUMINISTRO PARA SERVICIOS DE MANTENCIONES PREVENTIVAS CORRECTIVAS Y REPUESTOS EN GENERAL PARA FLOTA INTERNA DE VEHÍCULOS DEL ÁREA DE SALUD MUNICIPAL DE VALDIVIA – SOLICITUD Nº 5697-2026,Desierta (o art. 3 ó 9 Ley 19.886),LE,Región de Los Ríos,Valdivia,I MUNICIPALIDAD VALDIVIA,40750000.0,CLP,2026-05-14,2026-05-26,2026-06-04,1,2026-06-04
2258-69-LE26,INSUMOS DESIERTOS DE NEURO-ONMICELL,Desierta (o art. 3 ó 9 Ley 19.886),LE,Región de Antofagasta,,SERVICIO DE SALUD ANTOFAGASTA HOSPITAL L,,CLP,2026-04-15,2026-04-27,2026-06-04,8,2026-06-04
4457-49-L126,MATERIALES E INSUMOS QUIRÚRGICOS SALUD MUNICIPAL HUALQUI,Publicada,L1,Región del Biobío,Hualqui,I MUNICIPALIDAD DE HUALQUI,1310000.0,CLP,2026-06-04,2026-06-12,2026-07-02,14,2026-06-04
1057935-11-L126,ADQUISICIÓN E INSTALACIÓN DE UPS PARA MAMÓGRAFO HOLOGIC SELENIA DIMENSIONS Y UPS PARA ESTACIÓN DE TRABAJO DE ADQUISICIÓN DEL HOSPITAL SANTA ELISA,Cerrada,L1,Región de Los Ríos,Valdivia,SERVICIO DE SALUD LOS RIOS,6473600.0,CLP,2026-05-28,2026-06-04,2026-08-03,1,2026-06-04
2207-5-LE26,ARRIENDO DE CAMIONETA HOSPITAL DE PICHILEMU,Publicada,LE,Región del Libertador General Bernardo O´Higgins,Pichilemu,SERVICIO DE SALUD HOSPITAL DE PICHILEMU,,CLP,2026-06-04,2026-06-15,2026-06-16,1,2026-06-04
2917-10-LE26,SERVICIO DE MOVILIZACIÓN EQUIPO DE SALUD RURAL,Adjudicada,LE,Región de los Lagos,Río Negro,I MUNICIPALIDAD DE RIO NEGRO,8999100.0,CLP,2026-05-06,2026-05-14,2026-06-04,1,2026-06-04
1057384-85-LE26,SERVICIO DE MÉDICO ESPECIALISTA EN PEDIATRÍA,Publicada,LE,Región de Antofagasta,Tocopilla,SERVICIO DE SALUD ANTOFAGASTA HOSPITAL M,,CLP,2026-06-04,2026-06-16,2026-06-30,1,2026-06-04
1057922-15-LE26,ADQUISICIÓN CALDERA MURAL GLP PARA HOSPITAL DE PO,Publicada,LE,Región de los Lagos,Osorno,SERVICIO DE SALUD OSORNO,15000000.0,CLP,2026-06-04,2026-06-18,2026-07-17,1,2026-06-04
558869-37-LP26,SUMINISTRO DE COLACIONES SALUDABLES PARA ESCOLARES,Publicada,LP,Región de Antofagasta,Antofagasta,CORP MUNICIPAL DE DESARROLLO SOCIAL DE A,155441000.0,CLP,2026-06-04,2026-06-16,2026-06-27,1,2026-06-04
5602-13-LE26,ADQUIRIR INSUMOS Y REACTIVOS PARA USO EN ÁREA ESPE,Adjudicada,LE,Región de Arica y Parinacota,Arica,SUBSECRETARIA DE SALUD PUBLICA,,CLP,2026-04-07,2026-04-20,2026-06-04,47,2026-06-04
2098-43-LP26,CONVENIO DE RETIRO MANEJO COMPRA DE INSUMO TRANSPORTE Y DISPOSICIÓN FINAL DE RESIDUOS HOSPITALARIOS HRAV.,Adjudicada,LP,Región del Biobío,Curanilahue,SERVICIO NACIONAL DE SALUD HOSPITAL DE C,,CLP,2026-04-21,2026-05-05,2026-06-04,1,2026-06-04
3019-10-LE26,FARMACOS CONVENIO SAR. SOLICITUD NUMERO 52,Adjudicada,LE,Región del Biobío,Lota,I MUNICIPALIDAD DE LOTA,,CLP,2026-05-11,2026-05-22,2026-06-04,41,2026-06-04
