codigo,nombre,estado,tipo,region,comuna,hospital,monto_estimado,moneda,fecha_publicacion,fecha_cierre,fecha_adjudicacion,cantidad_items,date_scraped
1057404-64-CO26,PROFESIONAL ENFERMERÍA PABELLÓN HOSPITAL ARAUCO,Desierta (o art. 3 ó 9 Ley 19.886),CO,Región del Biobío,Arauco,SERVICIO DE SALUD ARAUCO HOSPITAL DE ARAUCO,,CLP,2026-07-31,2026-08-10,2026-09-04,1,2026-09-04
1555-75-LP26,CORTADOR QUIRURGICO DE VELLO Y COMODATO DE RASURAD,Publicada,LP,Región de Atacama,Vallenar,HOSPITAL PROVINCIAL   DEL HUASCO MSR FERNANDO ARIZTIA RUIZ,,CLP,2026-09-04,2026-09-29,2026-10-28,1,2026-09-04
2332-50-LE26,ADQUISICIÓN DE CHAQUETAS INSTITUCIONALES PARA FUNCIONARIOS DEL DEPARTAMENTO DE SALUD MUNICIPAL DE PUERTO MONTT,Adjudicada,LE,Región de los Lagos,,I MUNICIPALIDAD DE PUERTO MONTT,20000000.0,CLP,2026-07-21,2026-07-31,2026-09-04,2,2026-09-04
3933-46-L126,“INSUMOS PARA CAMBIOS DE ACEITE DE VEHICULOS DAEM” FONDOS TRASPASO MUNICIPAL,Adjudicada,L1,Región de la Araucanía,Freire,I MUNICIPALIDAD DE FREIRE,,CLP,2026-08-13,2026-08-20,2026-09-04,1,2026-09-04
3191-72-LE26,LE REAC ADQUISICION DE INSUMOS CLINICOS Y REACTIVOS,Cerrada,LE,Región de Valparaíso,Viña del Mar,DIRECCION DE ABASTECIMIENTO DE LA ARMADA,10500000.0,CLP,2026-08-24,2026-09-04,2026-10-05,36,2026-09-04
3412-8-LE26,MANTENIMIENTO SANITARIO,Adjudicada,LE,Región de Magallanes y de la Antártica,Puerto Natales,DIVISION LOGISTICA DEL EJERCITO,,CLP,2026-08-19,2026-09-01,2026-09-04,1,2026-09-04
1057539-45-LR26,ADQUISICIÓN DE SERVICIOS MEDICOS DE CIRUGIA TMT,Publicada,LR,Región de los Lagos,,HOSPITAL PUERTO MONTT SERVICIO DE SALUD DEL RELONCAVI,,CLP,2026-09-04,2026-10-05,2027-02-02,9,2026-09-04
1216085-20-R126,ARSENAL FARMACOLOGICO PARA LA BOTICA MUNICIPAL,Adjudicada,LP,Región de Valparaíso,Villa Alemana,CORP MUNICIPAL PARA EL DESARROLLO SOCIAL,,CLP,2026-04-29,2026-05-22,2026-09-04,141,2026-09-04
2284-30-L126,MEDICAMENTOS DESTINADOS AL AREA DE SALUD MUNICIPAL. SOLICITUD 6358-2026,Publicada,L1,Región de Los Ríos,Valdivia,I MUNICIPALIDAD VALDIVIA,3000000.0,CLP,2026-09-04,2026-09-09,2026-09-25,1,2026-09-04
2445-113-LE26,INSUMOS CLINICOS GENERALES,Publicada,LE,Región del Maule,Curicó,I MUNICIPALIDAD DE CURICO,33085570.0,CLP,2026-09-04,2026-09-29,2026-10-29,23,2026-09-04
1002772-85-LE26,ADQUISICIÓN DE INSUMOS PARA UNIDADES HOSPITALARIAS,Adjudicada,LE,Región Metropolitana de Santiago,,SERVICIO SALUD OCCIDENTE HOSPITAL DR FELIX BULNES CERDA,,CLP,2026-08-19,2026-08-25,2026-09-04,2,2026-09-04
1057532-72-LE26,SUSCRIPCIÓN LICENCIAS SOFTWARE CAD ARCHICAD COLLABORATE O EQUIVALENTE PARA EL SERVICIO DE SALUD OSORNO,Cerrada,LE,Región de los Lagos,Osorno,SERVICIO DE SALUD OSORNO,,CLP,2026-08-27,2026-09-04,2026-10-05,1,2026-09-04
1113159-14-L126,INSUMOS PARA PROGRAMA DEPENDENCIA SEVERA,Adjudicada,L1,Región Metropolitana de Santiago,Santiago,SERVICIO DE SALUD ANTOFAGASTA HOSPITAL M,2200000.0,CLP,2026-08-04,2026-08-14,2026-09-04,2,2026-09-04
1191382-10-LP26,PP 606-2026  SUMINISTRO DE MEDICAMENTOS PARA SATISFACER DEMANDA DE RECETAS INSCRITAS Y PRESENTADAS POR USUARIOS EN LAS FARMACIAS DE LA ILUSTRE MUNICIPALIDAD DE VALDIVIA-SOLICITUD N° 5824-2026.,Adjudicada,LP,Región de Los Ríos,Valdivia,I MUNICIPALIDAD VALDIVIA,110000000.0,CLP,2026-06-30,2026-07-20,2026-09-04,1,2026-09-04
2727-13-LE26,CAPACITACIÓN PERSONAL DEPARTAMENTO DE SALUD,Adjudicada,LE,Región del Ñuble,San Carlos,ILUSTRE MUNICIPALIDAD DE SAN CARLOS,23883787.0,CLP,2026-07-22,2026-08-03,2026-09-04,12,2026-09-04
3950-35-R126,SERVICIO PROFESIONAL DE ENFERMERIA PARA LA DIRECCION DE ATENCION PRIMARIA DEL SERVICIO DE SALUD AYSEN,Adjudicada,LE,Región Aysén del General Carlos Ibáñez del Campo,Coyhaique,DIRECCION SALUD RURAL,,CLP,2026-08-06,2026-08-20,2026-09-04,1,2026-09-04
2887-4-LE26,FARMACOS MISCELANEOS E INSUMOS DEPTO SALUD,Adjudicada,LE,Región de los Lagos,Puyehue,I MUNICIPALIDAD DE PUYEHUE,,CLP,2026-05-13,2026-05-20,2026-09-04,53,2026-09-04
883-27-LE26,ADQ. INSUMOS DE CREDENCIALES E IMPRESORAS,Cerrada,LE,Región Metropolitana de Santiago,Pudahuel,DIRECCION GENERAL DE AERONAUTICA CIVIL,16430059.0,CLP,2026-08-19,2026-09-04,2026-09-21,6,2026-09-04
1417913-36-L126,ADQUISICIÓN DE MEDICAMENTOS DE ALTA DEMANDA PARA EL ABASTECIMIENTO DE LA FARMACIA COMUNAL DE CORMUDESI POR 4 MESES,Adjudicada,L1,Región de Tarapacá,Iquique,CORP MUNICIPAL DE DESARROLLO SOCIAL DE IQUIQUE,,CLP,2026-07-21,2026-07-27,2026-09-04,10,2026-09-04
2153-60-LE26,FARMACOS PARA EL CHSJM,Publicada,LE,Región Metropolitana de Santiago,San José de Maipo,HOSPITAL SANATORIO SAN JOSÉ DE MAIPO,,CLP,2026-09-04,2026-09-11,2026-10-15,8,2026-09-04
3561-38-L126,INSUMOS DENTALES CONVENIO ESTRATEGIA DE SALUD BUCAL,Cerrada,L1,Región de Valparaíso,La Calera,I MUNICIPALIDAD DE LA CALERA,,CLP,2026-08-26,2026-09-04,2026-09-22,12,2026-09-04
3950-36-LE26,SERVICIO DE PROCESAMIENTO DE TEST DE ANTÍGENO MEDIANTE TÉCNICA ELISA MONOCLONAL PARA LA DETECCIÓN DE HELICOBACTER PYLORI EN USUARIOS DE LA RED DE ATENCIÓN PRIMARIA DEL SERVICIO DE SALUD AYSÉN,Adjudicada,LE,Región Aysén del General Carlos Ibáñez del Campo,Coyhaique,DIRECCION SALUD RURAL,,CLP,2026-08-12,2026-08-26,2026-09-04,1,2026-09-04
