codigo,nombre,estado,tipo,region,comuna,hospital,monto_estimado,moneda,fecha_publicacion,fecha_cierre,fecha_adjudicacion,cantidad_items,date_scraped
1057461-60-LE26,CONVENIO DE SUMINISTROS DE ARTICULOS ELECTRICOS Y CONSTRUCCION PARA HOSPITAL DE CAUQUENES,Publicada,LE,Región del Maule,,SERVICIO DE SALUD DEL MAULE HOSPITAL DE CAUQUENES,15000000.0,CLP,2026-09-21,2026-10-05,2026-11-05,2,2026-09-21
1057508-99-LE26,SEGUNDO LLAMADO COMPRA SERVICIOS DE CONSULTORÍAS EN SALUD MENTAL INFANTOADOLESCENTE,Adjudicada,LE,Región del Ñuble,,SERVICIO DE SALUD NUBLE,,CLP,2026-08-10,2026-08-21,2026-09-21,1,2026-09-21
1057935-17-L126,ADQUISICIÓN DE UNA CAMILLA GINECOLÓGICA PARA HOSPITAL DE CORRAL,Desierta (o art. 3 ó 9 Ley 19.886),L1,Región de Los Ríos,Valdivia,SERVICIO DE SALUD LOS RIOS,516527.0,CLP,2026-08-21,2026-08-31,2026-09-21,1,2026-09-21
1058085-102-LP26,CONVENIO SUMINISTRO DE EMPAGLIFLOZINA COMPRIMIDO EN CASO DE NO DESPACHO DE CENABAST PARA EL HOSPITAL DEL SALVADOR,Adjudicada,LP,Región Metropolitana de Santiago,Alhué,SERVICIO DE SALUD ORIENTE HOSPITAL DEL SALVADOR,345600000.0,CLP,2026-06-30,2026-07-20,2026-09-21,1,2026-09-21
1058097-26-LR26,ADQUISICIÓN DE FÓRMULAS MAGISTRALES POR CONVENIO DE SUMINISTRO PARA EL HOSPITAL PADRE ALBERTO HURTADO,Publicada,LR,Región Metropolitana de Santiago,San Ramón,HOSPITAL PADRE ALBERTO HURTADO,640000000.0,CLP,2026-09-21,2026-10-21,2027-01-19,50,2026-09-21
1426038-58-LE26,IMPRESIÓN Y CONFECCIÓN DE FORMULARIOS DE SALUD,Publicada,LE,Región Metropolitana de Santiago,Colina,CORPORACIÓN MUNICIPAL DE DESARROLLO SOCIAL DE COLINA,,CLP,2026-09-21,2026-10-01,2026-11-10,1,2026-09-21
1978-113-LE26,ADQUISICIÓN DE MEDICAMENTOS DE SALUD MENTAL MULTIVITAMÍNICOS Y DETECTOR DE DROGAS,Publicada,LE,Región del Maule,Talca,SERVICIO DE SALUD DEL MAULE,,CLP,2026-09-21,2026-09-28,2026-10-28,8,2026-09-21
2107-129-LE26,MANTENIMIENTO MAYOR DE ASCENSORES Y MONTACAMILLAS DEL HOSPITAL DE SANTA CRUZ,Adjudicada,LE,Región del Libertador General Bernardo O´Higgins,,SERVICIO DE SALUD HOSPITAL DE SANTA CRUZ,,CLP,2026-08-12,2026-08-24,2026-09-21,1,2026-09-21
2126-139-LR26,CONVENIO DE SUMINISTRO DE HEMODIÁLISIS CON ARRIENDO DE EQUIPAMIENTO PARA EL HOSPITAL SAN PABLO DE COQUIMBO,Publicada,LR,Región de Coquimbo,Coquimbo,SERVICIO DE SALUD COQUIMBO HOSPITAL DE COQUIMBO,,CLP,2026-09-21,2026-10-22,2027-06-22,1,2026-09-21
5060-22-L126,"SN°22 TALLER CONECTA TU BIENESTAR ""VIDA SALUDABLE PARA APRENDER MEJOR"" PARA ESTUDIANTES LICEO GABRIELA MISTRAL",Adjudicada,L1,Región de la Araucanía,Temuco,I MUNICIPALIDAD DE TEMUCO,6987500.0,CLP,2026-07-06,2026-07-15,2026-09-21,1,2026-09-21
575924-7-LE26,CAJTA-SEGURO DE VIDA Y PLAN DE SALUD COMPLEMENTARI,Adjudicada,LE,Región de Tarapacá,Iquique,CORP DE ASISTENCIA JUDICIAL DE LAS REG T,,CLP,2026-08-20,2026-09-02,2026-09-21,1,2026-09-21
591-7-LP26,SERVICIO COBRANZA JUDICIAL COTIZACIONES SALUD,Adjudicada,LP,Región Metropolitana de Santiago,,FONDO NACIONAL DE SALUD,269329131.0,CLP,2026-05-20,2026-06-09,2026-09-21,4,2026-09-21
