codigo,nombre,estado,tipo,region,comuna,hospital,monto_estimado,moneda,fecha_publicacion,fecha_cierre,fecha_adjudicacion,cantidad_items,date_scraped
948-10-L126,INSUMOS PROYECTO VIDA ACTIVIDAD Y SALUDABLE 2026 EPJA,Publicada,L1,Región Metropolitana de Santiago,Ñuñoa,SUBSECRETARIA DEL MINISTERIO DE EDUCACION PUBLICA,7065000.0,CLP,2026-07-10,2026-07-15,2026-07-19,1,2026-07-10
557639-49-LP26,FARMACOS GLAUCOMA PROG. RESOLUTIVIDAD,Adjudicada,LP,Región del Libertador General Bernardo O´Higgins,Rancagua,CORP MUNICIPAL DE SERVICIOS PUBLICOS TRASPASADOS DE RANCAGUA,,CLP,2026-06-10,2026-06-22,2026-07-10,3,2026-07-10
1057545-76-L126,CONTRATACIÓN DE SERVICIOS PARA PARA MODIFICACIONES SALA CUNA HOSPITAL DE LANCO,Desierta (o art. 3 ó 9 Ley 19.886),L1,Región de Los Ríos,Valdivia,SERVICIO DE SALUD LOS RIOS,1203804.0,CLP,2026-06-30,2026-07-10,2026-09-08,1,2026-07-10
1593-11-LP26,ESTUDIO DE DETERMINACIÓN TARIFARIA 2026 E IMPLEMENTACIÓN DEL RÉGIMEN TARIFARIO EN SERVICIOS SANITARIOS RURALES,Adjudicada,LP,Región Metropolitana de Santiago,Santiago,SUPERINTENDENCIA DE SERVICIOS SANITARIOS,250000000.0,CLP,2026-06-02,2026-06-22,2026-07-10,1,2026-07-10
2215-35-LP26,COMPRA REACTIVOS E INSUMOS PARA UMT,Publicada,LP,Región de Antofagasta,Antofagasta,SERVICIO DE SALUD ANTOFAGASTA HOSP C CIS,,CLP,2026-07-10,2026-07-31,2026-08-31,25,2026-07-10
3516-42-LE26,CAP. ACCIONES FORMATIVAS AUTOGESTIONADAS INSUMOS,Cerrada,LE,Región de la Araucanía,Carahue,I MUNICIPALIDAD DE CARAHUE,27581600.0,CLP,2026-06-30,2026-07-10,2026-07-24,16,2026-07-10
1523-62-LP26,PPTA 69-26 COMPRA DE SERV. HRS PERSONAL MEDICO,Adjudicada,LP,Región de la Araucanía,Lautaro,SERVICIO NACIONAL ARAUCANIA SUR HOSPITAL DR ABRAHAM GODOY PENA LAUTARO,,CLP,2026-06-03,2026-06-23,2026-07-10,1,2026-07-10
3679-5-L126,LENTES LEJOS Y CERCA DEPTO. SALUD,Publicada,L1,Región de Valparaíso,San Esteban,I MUNICIPALIDAD DE SAN ESTEBAN,,CLP,2026-07-10,2026-07-20,2026-08-13,5,2026-07-10
4967-26-LP26,CONVENIO DE SUMINISTRO DE INSTRUMENTAL E INSUMOS PARA INTERVENCIONES QUIRÚRGICAS DE CIRUGIA MAXILOFACIAL EN CONSIGNACIÓN CON INSTRUMENTAL Y MOTORES EN ARRIENDO,Publicada,LP,Región de Valparaíso,,HOSPITAL DE QUILPUE,,CLP,2026-07-10,2026-07-29,2026-10-01,8,2026-07-10
