codigo,nombre,estado,tipo,region,comuna,hospital,monto_estimado,moneda,fecha_publicacion,fecha_cierre,fecha_adjudicacion,cantidad_items,date_scraped
1057385-28-LE26,HABILITACION DE OFICINAS EN 2 Y 3 PISO SALUD MENTA,Adjudicada,LE,Región de Antofagasta,Taltal,SERVICIO DE SALUD ANTOFAGASTA HOSPITAL 21 DE MAYO TALTAL,12000000.0,CLP,2026-05-04,2026-05-13,2026-05-22,1,2026-05-22
1057534-21-LE26,REACTIVOS E INSUMOS LABORATORIO MAYO,Adjudicada,LE,Región de los Lagos,Purranque,SERVICIO DE SALUD OSORNO HOSPITAL PURRANQUE,,CLP,2026-05-12,2026-05-18,2026-05-22,23,2026-05-22
5349-45-L126,ADQUISICIÓN DE VAJILLA PARA EL HOSPITAL PROVINCIAL DEL HUASCO,Adjudicada,L1,Región de Atacama,Vallenar,HOSPITAL PROVINCIAL   DEL HUASCO MSR FERNANDO ARIZTIA RUIZ,3450000.0,CLP,2026-05-12,2026-05-19,2026-05-22,2,2026-05-22
1075963-166-LE26,CURSOS DE CAPACITACIÓN PARA FUNCIONARIOS PAC HOSPITAL JUAN NOÉ CREVANI,Publicada,LE,Región de Arica y Parinacota,Santiago,SERVICIO DE SALUD ARICA HOSP DR JUAN NOE CREVANI,,CLP,2026-05-22,2026-06-02,2026-09-24,11,2026-05-22
4829-19-LE26,ADQUISICION DE INSUMOS DIGITALES,Publicada,LE,Región del Biobío,Alto Bio Bio,ILUSTRE MUNICIPALIDAD DE ALTO BIOBIO,15000000.0,CLP,2026-05-22,2026-06-01,2026-06-19,1,2026-05-22
608-27-LR26,ADQUISICIÓN DE INSUMOS MÉDICOS DESECHABLES Y MATERIAL ESTÉRIL PARA LA UNIDAD DE ESTERILIZACION,Adjudicada,LR,Región de Valparaíso,Viña del Mar,HOSPITAL DR GUSTAVO FRICKE DE VINA DEL MAR,,CLP,2026-02-05,2026-03-09,2026-05-22,7,2026-05-22
