codigo,nombre,estado,tipo,region,comuna,hospital,monto_estimado,moneda,fecha_publicacion,fecha_cierre,fecha_adjudicacion,cantidad_items,date_scraped
1057489-109-LP26,CONVENIO DE SUMINISTRO DE SET DE TORNILLOS DE TITANIO PARA FRACTURA DE ESCAFOIDES POR 36 MESES PARA EL HOSPITAL DEL SALVADOR,Adjudicada,LP,Región Metropolitana de Santiago,Providencia,SERVICIO DE SALUD ORIENTE HOSPITAL DEL SALVADOR,195160000.0,CLP,2026-04-02,2026-04-22,2026-06-02,1,2026-06-02
2831-7-LP26,CONVENIO DE SALUD PARA PRESTACIONES MÉDICAS,Adjudicada,LP,Región de Valparaíso,Quillota,I MUNICIPALIDAD DE QUILLOTA,4157.7,CLF,2026-04-10,2026-04-30,2026-06-02,1,2026-06-02
3651-22-L126,INSUMOS PARA BOX TOMA DE MUESTRA EN CESFAM CANTERA,Cerrada,L1,Región del Biobío,Quilleco,I MUNICIPALIDAD DE QUILLECO,4566030.0,CLP,2026-05-27,2026-06-02,2026-06-22,9,2026-06-02
1057387-22-LP26,SUMINISTRO INSUMOS ESPECIFICOS UNIDAD DIALISIS,Publicada,LP,Región de la Araucanía,Collipulli,SERVICIO SALUD ARAUCANIA HOSPITAL DE COLLIPULLI,96645187.0,CLP,2026-06-02,2026-06-22,2026-07-02,24,2026-06-02
1057489-140-LE26,CONVENIO DE SUMINISTRO DE SISTEMA DE IRRIGACIÓN Y ASPIRACIÓN PARA ROBÓTICA POR 36 MESES PARA HOSPITAL DEL SALVADOR.,Adjudicada,LE,Región Metropolitana de Santiago,Providencia,SERVICIO DE SALUD ORIENTE HOSPITAL DEL SALVADOR,65116800.0,CLP,2026-04-30,2026-05-11,2026-06-02,1,2026-06-02
1057509-118-LE26,“CONVENIO COMPRA SERVICIOS DE ENFERMERÍA Y TÉCNICO PARAMÉDICO O TENS PARA CUARTO TURNO DE LA UNIDAD DE DIÁLISIS”  BRD,Cerrada,LE,Región del Ñuble,Chillán,HOSPITAL CLINICO HERMINDA MARTIN,55464000.0,CLP,2026-05-22,2026-06-02,2026-06-26,1,2026-06-02
1057545-48-LP26,CONTRATACIÓN DE SERVICIOS DE MANTENCIÓN PREVENTIVA YO CORRECTIVA A EQUIPOS  DE ESPECIALIDADES PERTENECIENTES A LOS ESTABLECIMIENTOS DEPENDIENTES DEL SERVICIO DE SALUD LOS RÍOS N° 2,Cerrada,LP,Región de Los Ríos,Valdivia,SERVICIO DE SALUD LOS RIOS,188477327.0,CLP,2026-05-13,2026-06-02,2026-08-31,24,2026-06-02
3480-12-LE26,SUMINISTRO DE ALIMENTOS  E INSUMOS PARA GANADO,Publicada,LE,Región de los Lagos,Osorno,DIVISION LOGISTICA DEL EJERCITO,55000000.0,CLP,2026-06-02,2026-06-16,2026-06-23,4,2026-06-02
1079596-18-L126,"LICITACIÓN PÚBLICA DE CAPACITACIÓN EN  MECÁNICA BÁSICA AUTOMOTRIZ  Y  SOPORTE VITAL AVANZADO EN TRAUMA PREHOSPITALARIA, DESTINADOS AL PERSONAL DEPENDIENTES DE LA ZONA DE CARABINEROS DE ARICA Y PARINACOTA.",Adjudicada,L1,Región de Arica y Parinacota,Arica,DIRECCION DE LOGISTICA DE CARABINEROS,5190000.0,CLP,2026-05-14,2026-05-26,2026-06-02,2,2026-06-02
2098-91-LR26,CONVENIO SUMINISTRO INSUMOS DE INFUSIÓN CON BOMBAS EN COMODATO Y ARRIENDO DE BOMBAS DE JERINGA PARA EL HRAV POR UN PERIODO DE 36 MESES REQUERIDO POR EU GESTIÓN DEL CUIDADO – FOLIO 436,Publicada,LR,Región del Biobío,,SERVICIO NACIONAL DE SALUD HOSPITAL DE C,404555800.0,CLP,2026-06-02,2026-07-03,2026-09-03,1,2026-06-02
