codigo,nombre,estado,tipo,region,comuna,hospital,monto_estimado,moneda,fecha_publicacion,fecha_cierre,fecha_adjudicacion,cantidad_items,date_scraped
1057503-77-LP26,ADQUISICIÓN DE SISTEMA DE TIBIA CON ABORDAJE EN MODALIDAD DE CONSIGNACIÓN POR CONVENIO DE SUMINISTRO PARA EL HOSPITAL PADRE ALBERTO HURTADO,Adjudicada,LP,Región Metropolitana de Santiago,San Ramón,HOSPITAL PADRE ALBERTO HURTADO,345000000.0,CLP,2026-04-20,2026-05-11,2026-06-10,1,2026-06-10
2080-177-LP26,SERV. MÉDICOS ESPECIALIDAD CABEZA Y CUELLO HDFRZ,Cerrada,LP,Región del Libertador General Bernardo O´Higgins,Rancagua,SERVICIO DE SALUD DEL LIBERTADOR B O'HIGGINS HOSPITAL REG RANCAGUA,,CLP,2026-05-20,2026-06-10,2026-08-09,1,2026-06-10
1057503-66-LP26,ADQUISICIÓN DE SISTEMA DE FIJADORES EXTERNOS EN MODALIDAD DE CONSIGNACIÓN POR CONVENIO DE SUMINISTRO PARA EL HOSPITAL PADRE ALBERTO HURTADO,Adjudicada,LP,Región Metropolitana de Santiago,San Ramón,HOSPITAL PADRE ALBERTO HURTADO,343000000.0,CLP,2026-04-15,2026-05-05,2026-06-10,1,2026-06-10
2115-28-LP26,MANTENCIÓN DE EQUIPOS MÉDICOS E INDUSTRIALES,Publicada,LP,Región Metropolitana de Santiago,Maipú,CENTRO DE REFERENCIA DE SALUD DE MAIPU,,CLP,2026-06-10,2026-07-08,2026-08-31,2,2026-06-10
3561-17-L126,PRODUCTOS FARMACEUTICOS,Adjudicada,L1,Región de Valparaíso,La Calera,I MUNICIPALIDAD DE LA CALERA,5300000.0,CLP,2026-04-16,2026-04-23,2026-06-10,10,2026-06-10
1057503-48-LR26,ADQUISICIÓN DE SISTEMA FRACTURA DE MUÑECA COMPLEJA Y SIMPLE EN MODALIDAD DE CONSIGNACIÓN POR CONVENIO DE SUMINISTRO PARA EL HOSPITAL PADRE ALBERTO HURTADO,Adjudicada,LR,Región Metropolitana de Santiago,San Ramón,HOSPITAL PADRE ALBERTO HURTADO,697000000.0,CLP,2026-02-26,2026-03-30,2026-06-10,1,2026-06-10
1057545-40-LE26,CONTRATACIÓN DE SERVICIOS PARA OBTENCIÓN YO RENOVACIÓN DE SELLOS VERDES DEL SERVICIO SALUD LOS RÍOS Y ESTABLECIMIENTOS DEPENDIENTES,Adjudicada,LE,Región de Los Ríos,Valdivia,SERVICIO DE SALUD LOS RIOS,12700000.0,CLP,2026-04-29,2026-05-15,2026-06-10,1,2026-06-10
2771-41-LE26,SERVICIO DE PRODUCTOS FARMACÉUTICOS PARA REALIZAR PRESTACIONES MÉDICO VETERINARIAS PARA LA DIRECCIÓN DE MEDIO AMBIENTE MUNICIPALIDAD DE CHIGUAYANTE,Publicada,LE,Región del Biobío,,I MUNICIPALIDAD DE CHIGUAYANTE,25660000.0,CLP,2026-06-10,2026-06-19,2026-07-10,2,2026-06-10
1058085-78-LP26,CONVENIO SUMINISTRO DE ENCORAFENIB + BINIMETINIB PARA EL HOSPITAL DEL SALVADOR,Publicada,LP,Región Metropolitana de Santiago,Alhué,SERVICIO DE SALUD ORIENTE HOSPITAL DEL SALVADOR,275922570.0,CLP,2026-06-10,2026-06-30,2026-09-16,2,2026-06-10
1063535-11-LP26,FARMACOS ORALES  Y OTROS 2,Publicada,LP,Región de los Lagos,Osorno,HOSPITAL BASE OSORNO,,CLP,2026-06-10,2026-06-23,2026-08-21,23,2026-06-10
2080-160-LR26,SUMINISTRO INSUMOS TECNICA ESPECTROFOTOMETRIA,Publicada,LR,Región del Libertador General Bernardo O´Higgins,Rancagua,SERVICIO DE SALUD DEL LIBERTADOR B O'HIGGINS HOSPITAL REG RANCAGUA,,CLP,2026-06-10,2026-07-10,2026-10-04,14,2026-06-10
3361-8-L126,ADQUISICIÓN DE INSUMOS COMPUTACIONALES PARA EL CUARTEL GENERAL DEL COMANDO DE OPERACIONES TERRESTRES,Publicada,L1,Región del Biobío,Concepción,DIVISION LOGISTICA DEL EJERCITO,5700000.0,CLP,2026-06-10,2026-06-23,2026-07-23,1,2026-06-10
886954-120-LP26,CONVENIO DE SUMINISTROS INSUMOS VARIOS CIRUGIA CARDIACA HGGB,Adjudicada,LP,Región del Biobío,Concepción,HOSPITAL GUILLERMO GRANT BENAVENTE DE CO,,CLP,2026-04-16,2026-04-28,2026-06-10,3,2026-06-10
886954-152-LE26,CONVENIO SUMINISTRO INSUMOS PARA TERAPIAS DE REEMPLAZO RENAL CONTINUAS TRRC CON EQUIPO EN COMODATO,Publicada,LE,Región del Biobío,Concepción,HOSPITAL GUILLERMO GRANT BENAVENTE DE CO,69750000.0,CLP,2026-06-10,2026-06-22,2026-10-20,4,2026-06-10
898-115-LE26,HABILITACIÓN DE SEGUNDA SALA DE INFORMES MÉDICOS EN SERVICIO DE MEDICO QUIRURGICO PISO 1 DEL NHCV,Publicada,LE,Región de Valparaíso,San Antonio,SERVICIO DE SALUD VALPARAISO SAN ANTONIO,7000000.0,CLP,2026-06-10,2026-06-22,2026-07-22,1,2026-06-10
1242123-3-LR26,CONVENIO DE SUMINISTRO DE REACTIVOS PARA TÉCNICA DE QUIMIOLUMINISCENCIA CON EQUIPAMIENTO ASOCIADO PARA LA UNIDAD DE BANCO DE SANGRE DEL HOSPITAL PROVINCIAL DE OVALLE,Publicada,LR,Región de Coquimbo,,SERVICIO DE SALUD COQUIMBO HOSPITAL DE O,638000000.0,CLP,2026-06-10,2026-07-13,2026-09-14,7,2026-06-10
1242134-2-LP26,CONVENIO DE SUMINISTRO DE RECARGA DE GASES CLÍNICOS PARA EL HOSPITAL PROVINCIAL DE OVALLE,Adjudicada,LP,Región de Coquimbo,Ovalle,SERVICIO DE SALUD COQUIMBO HOSPITAL DE O,99000000.0,CLP,2026-04-27,2026-05-25,2026-06-10,1,2026-06-10
1359575-5-LP26,CS MEDICAMENTO Y FARMACO,Publicada,LP,Región de Valparaíso,Valparaíso,UNIVERSIDAD DE VALPARAISO,,CLP,2026-06-10,2026-06-30,2026-09-30,30,2026-06-10
2548-37-LE26,ADQUISICION DE INSUMOS DENTALES DSM,Cerrada,LE,Región de la Araucanía,Padre Las Casas,I MUNICIPALIDAD DE PADRE LAS CASAS,25653000.0,CLP,2026-05-27,2026-06-10,2026-07-08,46,2026-06-10
2658-188-L126,EQUIPOS E INSUMOS INFORMÁTICOS.,Publicada,L1,Región Metropolitana de Santiago,Las Condes,I MUNICIPALIDAD DE ANCUD,,CLP,2026-06-10,2026-06-23,2026-07-07,8,2026-06-10
