codigo,nombre,estado,tipo,region,comuna,hospital,monto_estimado,moneda,fecha_publicacion,fecha_cierre,fecha_adjudicacion,cantidad_items,date_scraped
1057540-71-LP26,CONVENIO DE  MANTENIMIENTO PREVENTIVO Y CORRECTIVO PARA TAC DENTAL DEL  HOSPITAL PENCO LIRQUEN,Adjudicada,LP,Región del Biobío,,SERVICIO SALUD TALCAHUANO HOSPITAL PENCO-LIRQUEN,,CLP,2026-08-05,2026-08-25,2026-09-15,1,2026-09-15
1417913-85-I226,CONVENIO DE SUMINISTRO DE REACTIVOS INSUMOS EQUIPOS AUTOMATIZADOS EN COMODATO Y ARRIENDO SISTEMA DE INFORMACIÓN DE LABORATORIOLIS PARA EL LABORATORIO CLÍNICO APS IQUIQUE DE CORMUDESI POR 48 MESES,Desierta (o art. 3 ó 9 Ley 19.886),I2,Región de Tarapacá,Iquique,CORP MUNICIPAL DE DESARROLLO SOCIAL DE IQUIQUE,,CLP,2026-07-01,2026-08-03,2026-09-15,2,2026-09-15
1422824-23-CO26,“CONTRATO DE SUMINISTRO DE INSUMOS PARA PROCEDIMIENTOS TRANSFUSIONALES ADULTOS PARA UNIDAD DE MEDICINA TRANSFUSIONAL DEL HOSPITAL CARLOS VAN BUREN”,Desierta (o art. 3 ó 9 Ley 19.886),CO,Región de Valparaíso,Valparaíso,SERVICIO NACIONAL DE SALUD HOSPITAL CARLOS VAN BUREN,,CLP,2026-07-30,2026-08-20,2026-09-15,3,2026-09-15
1499-157-LP26,CPL INSUMOS PARA MANEJO DE VÍA AÉREA DRENAJE Y ASPIRACIÓN QUE RESULTARON DESIERTOS EN LA LICITACIÓN 1499-95-LP26,Adjudicada,LP,Región Metropolitana de Santiago,Providencia,INSTITUTO NACIONAL DEL TORAX,,CLP,2026-08-03,2026-08-24,2026-09-15,8,2026-09-15
2378-109-LE26,INSUMOS PARA PREMIACIONES RECONOCIMIENTOS,Cerrada,LE,Región Metropolitana de Santiago,La Florida,I MUNICIPALIDAD DE LA FLORIDA,35000000.0,CLP,2026-09-02,2026-09-15,2026-11-30,1,2026-09-15
1031849-17-LP26,SERVICIOS DE MANTENCIÓN PREVENTIVA Y CORRECTIVA DE VEHÍCULOS FUERA DE GARANTÍA TÉCNICA DE LA RED DEL SERVICIO DE SALUD TALCAHUAN,Adjudicada,LP,Región del Biobío,Penco,DIRECCION SERVICIO DE SALUD TALCAHUANO,,CLP,2026-07-22,2026-08-11,2026-09-15,6,2026-09-15
1057539-61-LE26,CONV. SUMIN. DE INSUMOS ADULTO CAMPAÑA INVIERNO,Adjudicada,LE,Región de los Lagos,,HOSPITAL PUERTO MONTT SERVICIO DE SALUD DEL RELONCAVI,,CLP,2026-05-27,2026-06-03,2026-09-15,26,2026-09-15
2126-142-LE26,CONVENIO POR LA ADQUISICIÓN DE BERGERES PARA EL HOSPITAL SAN PABLO DE COQUIMBO,Publicada,LE,Región de Coquimbo,Coquimbo,SERVICIO DE SALUD COQUIMBO HOSPITAL DE COQUIMBO,11500000.0,CLP,2026-09-15,2026-09-28,2027-06-03,1,2026-09-15
2445-109-LP26,SERVICIO SOFTWARE GESTIÓN  ASISTENCIA DEPTO. SALUD,Cerrada,LP,Región del Maule,Curicó,I MUNICIPALIDAD DE CURICO,132232000.0,CLP,2026-08-26,2026-09-15,2026-10-12,1,2026-09-15
2673-50-LE26,ADQUISICIÓN INSUMOS Y ACCESORIAS AREAS VERDES II,Adjudicada,LE,Región Metropolitana de Santiago,Melipilla,ILUSTRE MUNICIPALIDAD DE MELIPILLA,,CLP,2026-08-04,2026-08-18,2026-09-15,1,2026-09-15
3191-100-LE26,LE FAR2 ADQUISICION DE FARMACOS,Publicada,LE,Región de Valparaíso,Viña del Mar,DIRECCION DE ABASTECIMIENTO DE LA ARMADA,52000000.0,CLP,2026-09-15,2026-09-28,2026-10-12,2,2026-09-15
3191-95-LE26,LE FAR1 ADQUISICION DE FARMACOS,Publicada,LE,Región de Valparaíso,Viña del Mar,DIRECCION DE ABASTECIMIENTO DE LA ARMADA,62000000.0,CLP,2026-09-15,2026-09-25,2026-10-28,5,2026-09-15
4359-8-L126,MEDICAMENTO E INSUMOS PROGRAMA FOFAR-PIE DIABÉTICO  DEPARTAMENTO DE SALUD NACIMIENTO,Cerrada,L1,Región del Biobío,,I MUNICIPALIDAD DE NACIMIENTO,2000000.0,CLP,2026-09-09,2026-09-15,2026-09-29,3,2026-09-15
4401-58-LE26,SC 793 INSUMOS TOMA DE MUESTRAS,Cerrada,LE,Región del Maule,San Clemente,I MUNICIPALIDAD DE SAN CLEMENTE,,CLP,2026-09-05,2026-09-15,2026-10-16,7,2026-09-15
568658-66-LP26,SUMINISTRO DE INSUMOS PERCAPITA  DROGUERIA CMVM,Cerrada,LP,Región de Valparaíso,Viña del Mar,CORPORACION MUNICIPAL VINA DEL MAR PARA EL DESARROLLO SOCIAL,130139070.0,CLP,2026-08-24,2026-09-15,2026-10-15,32,2026-09-15
1211839-67-LP26,CONV. DE SUMINISTRO DE INSUMOS ODONTOLÓGICOS 26-27,Publicada,LP,Región Metropolitana de Santiago,Puente Alto,CORP MUNIC EDUC SALUD Y ATENCION,317660044.0,CLP,2026-09-15,2026-09-29,2026-10-15,59,2026-09-15
2258-117-LP26,INSUMOS DE  TRAUMATOLOGIA Y CIRUGIA PEDIATRICA,Adjudicada,LP,Región de Antofagasta,,SERVICIO DE SALUD ANTOFAGASTA HOSPITAL L,,CLP,2026-06-05,2026-06-25,2026-09-15,24,2026-09-15
2757-12-L126,ADQUISICIÓN DE INSUMOS MÉDICOS DENTALES PARA USO DE  CONVENIO ESTRATEGIAS EN SALUD BUCAL,Publicada,L1,Región Metropolitana de Santiago,Estación Central,I MUNICIPALIDAD DE SAN ANTONIO,5000000.0,CLP,2026-09-15,2026-09-22,2026-10-23,1,2026-09-15
1057736-7-L126,TECNICO DE EDUCACIÓN PARA CLUB ESCOLAR DEL HOSPITAL DE TOMÉ DE 22 HRS,Adjudicada,L1,Región del Biobío,Talcahuano,DIRECCION SERVICIO DE SALUD TALCAHUANO,1400000.0,CLP,2026-08-24,2026-09-03,2026-09-15,1,2026-09-15
1271359-65-LE26,EQUIPAMIENTO INSUMOS Y MATERIALES PROGRAMAS SALUD,Adjudicada,LE,Región Metropolitana de Santiago,Lampa,CORP MUNICIPAL DE DESARROLLO SOCIAL DE LAMPA,30500000.0,CLP,2026-07-10,2026-07-24,2026-09-15,5,2026-09-15
2059-10-LE26,CONVENIO DE INSUMOS DE LABORATORIO PARA HPO,Adjudicada,LE,Región de los Lagos,Puerto Octay,SERVICIO NACIONAL DE SALUD HOSPITAL DE PUERTO OCTAY,,CLP,2026-08-12,2026-08-24,2026-09-15,6,2026-09-15
2102-24-LP26,SUMINISTRO DE REACTIVOS E INSUMOS LAB. CLINICOS,Publicada,LP,Región del Biobío,Lebu,SERVICIO NACIONAL DE SALUD HOSPITAL DE LEBU,124813355.0,CLP,2026-09-15,2026-10-05,2026-11-05,1,2026-09-15
2258-197-LE26,COMPRA DE ELEMENTOS PROTECCION RADIOLOGICA PARA EL HOSPITAL REGIONAL DE ANTOFAGASTA,Cerrada,LE,Región de Antofagasta,Antofagasta,SERVICIO DE SALUD ANTOFAGASTA HOSPITAL L,,CLP,2026-09-01,2026-09-15,2026-11-13,3,2026-09-15
2295-95-LP26,ADQUISICIÓN DE TRES AMBULANCIAS TIPO EMERGENCIA AVANZADA AEA PARA LA RED DE ATENCIÓN PRIMARIA DE SALUD DE LA COMUNA DE TALCA,Publicada,LP,Región del Maule,Talca,I MUNICIPALIDAD DE TALCA,,CLP,2026-09-15,2026-10-05,2027-01-26,1,2026-09-15
2723-56-LP26,ADQUISICIÓN DE MATERIALES E INSUMOS PARA INSTALACIÓN DE LUMINARIAS PÚBLICAS EN 5 SECTORES DE LA COMUNA DE BUIN,Cerrada,LP,Región Metropolitana de Santiago,Buin,I MUNICIPALIDAD DE BUIN,,CLP,2026-08-21,2026-09-15,2026-12-14,5,2026-09-15
1057491-177-LP26,ARRIENDO DE INSTRUMENTAL QUIRURGICO,Publicada,LP,Región Metropolitana de Santiago,Providencia,SERVICIO DE SALUD ORIENTE HOSPITAL LUIS CALVO MACKENNA,90000000.0,CLP,2026-09-15,2026-10-05,2026-11-13,1,2026-09-15
1057492-101-LP26,SUMINISTRO DE KIT DE TOMA PCR RETRACTOR QUIRURGICO ABDOMINAL CATETER MADURACION CERVICAL Y PAPEL GRADO MEDICO,Adjudicada,LP,Región Metropolitana de Santiago,,HOSPITAL ORIENTE DR LUIS TISNE BROUSSE,,CLP,2026-07-01,2026-07-22,2026-09-15,4,2026-09-15
1057540-73-LP26,CONVENIO DE MANTENIMIENTO CORRECTIVO Y  COMPRA DE ACCESORIOS PARA EQUIPOS MEDICOS VARIOS DEL HOSPITAL PENCO LIRQUEN,Adjudicada,LP,Región del Biobío,,SERVICIO SALUD TALCAHUANO HOSPITAL PENCO-LIRQUEN,,CLP,2026-08-14,2026-09-03,2026-09-15,1,2026-09-15
1057935-18-LE26,ADQUISICIÓN DE CAMILLAS Y CATRES PARA ESTABLECIMIENTOS DEPENDIENTES DEL SERVICIO DE SALUD LOS RÍOS,Publicada,LE,Región de Los Ríos,Valdivia,SERVICIO DE SALUD LOS RIOS,57112789.0,CLP,2026-09-15,2026-09-23,2026-12-22,4,2026-09-15
1075963-366-LE26,CONVENIO DE MANTENCIÓN PREVENTIVA Y CORRECTIVA DE EQUIPO TOPOGRAFO CORNEAL MARCA ZIEMER DEL HOSPITAL DE ARICA POR 3 AÑOS,Publicada,LE,Región de Arica y Parinacota,,SERVICIO DE SALUD ARICA HOSP DR JUAN NOE CREVANI,,CLP,2026-09-15,2026-09-25,2026-10-30,2,2026-09-15
1242131-19-LE26,CONVENIO DE SUMINISTRO DE KIT DE CONEXIÓN Y DESCONEXIÓN DE FAV Y CHD PARA LA UNIDAD DE HEMODIÁLISIS DEL HOSPITAL PROVINCIAL DE OVALLE,Adjudicada,LE,Región de Coquimbo,Ovalle,SERVICIO DE SALUD COQUIMBO HOSPITAL DE O,32000000.0,CLP,2026-07-28,2026-08-17,2026-09-15,2,2026-09-15
1549-87-LP26,INSUMOS DENTALES ADITAMENTOS DE SOBREDENTADURA,Publicada,LP,Región Metropolitana de Santiago,Independencia,SERVICIO DE SALUD METROPOLITANA NORTE HOSPITAL SAN JOSE,127731093.0,CLP,2026-09-15,2026-10-13,2026-12-12,1,2026-09-15
2078-38-LE26,“SERVICIOS DE TRANSPORTE PARA COMPIN DELEGACIONES DE BIOBIO Y ARAUCO LA SEREMI DE SALUD REGIÓN DEL BIOBIO”. SC 224-2026.,Desierta (o art. 3 ó 9 Ley 19.886),LE,Región del Biobío,Lebu,SUBSECRETARIA DE SALUD PUBLICA,14000000.0,CLP,2026-08-05,2026-08-19,2026-09-15,2,2026-09-15
2078-45-LE26,APRUEBA Y PUBLICA BASES ADMINISTRATIVAS PARA “SERVICIOS DE TRANSPORTE PARA TRASLADO DE FUNCIONARIOS DE LA UNIDAD DE ZOONOSIS CONCEPCIÓN Y DELEGACIÓN BIOBIO AMBAS DEPENDIENTE DE LA SEREMI DE SALUD REGIÓN DEL BIOBIO”. SC 283-2026 Y 377-2026,Publicada,LE,Región del Biobío,Lebu,SUBSECRETARIA DE SALUD PUBLICA,,CLP,2026-09-15,2026-09-25,2026-09-29,2,2026-09-15
