codigo,nombre,estado,tipo,region,comuna,hospital,monto_estimado,moneda,fecha_publicacion,fecha_cierre,fecha_adjudicacion,cantidad_items,date_scraped
948355-12-LE26,ADQUISICIÓN DE INTRODUCTOR RADIAL DE 6 FR. POR SISTEMA DE SUMINISTRO PARA EL HOSPITAL DIPRECA,Adjudicada,LE,Región Metropolitana de Santiago,,FONDO HOSPITAL DE LA DIRECCION DE PREVISION DE CARABINEROS DE CHILE,50000000.0,CLP,2026-03-26,2026-04-06,2026-05-19,1,2026-05-19
1057539-58-LE26,CONVENIO DE SUMINISTRO DE INSUMOS ONCOLOGÍA PED,Publicada,LE,Región de los Lagos,,HOSPITAL PUERTO MONTT SERVICIO DE SALUD DEL RELONCAVI,34516188.0,CLP,2026-05-19,2026-05-29,2026-08-27,6,2026-05-19
2151-18-L126,INSUMOS PARA UNIDAD DENTAL AÑO 2026,Publicada,L1,Región Metropolitana de Santiago,Alhué,SERVICIO NAC DE SALUD HOSPITAL DE PTO CISNES,7058000.0,CLP,2026-05-19,2026-05-25,2026-06-08,97,2026-05-19
2099-17-L126,"ADQUISICION REACTIVOS E INSUMOS SIMILARES O EQUIVALENTES A  LA MARCA THERMO ORION, AREA QUIMICA, LABORATORIO DE PUNTA ARENAS, XII REGION DE MAGALLANES",Cerrada,L1,Región de Magallanes y de la Antártica,Punta Arenas,SUBSECRETARIA DE SALUD PUBLICA,2100000.0,CLP,2026-04-29,2026-05-19,2026-05-29,11,2026-05-19
5019-5-LE26,SUMINISTRO DE INSUMOS DE LABORATORIO Y TOMA DE MUESTRAS,Adjudicada,LE,Región Aysén del General Carlos Ibáñez del Campo,Coyhaique,DIVISION LOGISTICA DEL EJERCITO,13000000.0,CLP,2026-03-23,2026-04-10,2026-05-19,5,2026-05-19
4776-28-LR26,CONTRATACIÓN DE SERVICIOS DE PERSONAL CLÍNICO OPERATIVO Y ADMINISTRATIVO PARA LA RED HOSPITALARIA DE CAPREDENA,Publicada,LR,Región Metropolitana de Santiago,,CAJA DE PREVISION DE LA DEFENSA NACIONAL,,CLP,2026-05-19,2026-06-18,2026-07-28,1,2026-05-19
5350-5-LE26,SERVICIO DE MATENCION PREVENTIVA DE EQUIPAMIENTO DE LOS ESTACIMIENTOS DE SALUD APS 2026,Adjudicada,LE,Región de Atacama,,I MUNICIPALIDAD DE VALLENAR,20000000.0,CLP,2026-03-20,2026-04-10,2026-05-19,8,2026-05-19
1057472-24-LP26,ADQUISICION ACCESORIOS E INSUMOS PARA EQ MEDICOS,Adjudicada,LP,Región Metropolitana de Santiago,Maipú,HOSPITAL CLINICO METROPOLITANO EL CARMEN DOCTOR LUIS VALENTIN FERRADA,,CLP,2026-03-26,2026-04-07,2026-05-19,45,2026-05-19
1057499-13-LR26,KIT TOMA DE MUESTRA PARA VPH REACTIVOS E INSUMOS PARA SU PROCESAMIENTO,Cerrada,LR,Región Metropolitana de Santiago,San Miguel,SERVICIO DE SALUD SUR UNIDAD HOSPITALARI,560000000.0,CLP,2026-04-16,2026-05-19,2026-06-17,1,2026-05-19
1003473-37-LE26,CONTRATO DE SUMINISTRO KIT DE PANELES PCR MÚLTIPLE PARA LA DETECCIÓN DE BACTERIAS RESPIRATORIAS PARA EL HOSPITAL SAN JUAN DE DIOS DE CURICÓ,Adjudicada,LE,Región del Maule,Curicó,SERVICIO DE SALUD DEL MAULE HOSPITAL DE CURICO,13000000.0,CLP,2026-04-28,2026-05-08,2026-05-19,1,2026-05-19
5020-1-LE26,ADQUISICIÓN DE MATERIALES Y ÚTILES QUIRÚRGICOS CCM,Adjudicada,LE,Región de Magallanes y de la Antártica,Punta Arenas,DIVISION LOGISTICA DEL EJERCITO,,CLP,2026-04-08,2026-04-20,2026-05-19,206,2026-05-19
