codigo,nombre,estado,tipo,region,comuna,hospital,monto_estimado,moneda,fecha_publicacion,fecha_cierre,fecha_adjudicacion,cantidad_items,date_scraped
1057544-186-LE26,COMPRA DE REACTIVOS E INSUMOS PARA REALIZAR EXÁMENES DE OSMOLALIDAD MEDIANTE OSMOMETRIA,Publicada,LE,Región del Biobío,Talcahuano,SERVICIO DE SALUD DE TALCAHUANO HOSPITAL,,CLP,2026-06-05,2026-06-15,2026-07-09,1,2026-06-05
1233600-34-LE26,SERVICIO DE IMAGENOLOGÍA PARA CENTROS DE SALUD,Publicada,LE,Región Metropolitana de Santiago,Renca,CORP MUNICIPAL DE RENCA,,CLP,2026-06-05,2026-06-30,2026-07-13,1,2026-06-05
1552-61-LE26,INSUMOS E INSTRUMENTAL DENTAL CLINICA MOVIL,Publicada,LE,Región de Atacama,Copiapó,SERVICIO DE SALUD ATACAMA,8500323.0,CLP,2026-06-05,2026-06-15,2026-06-30,9,2026-06-05
1057415-15-LE26,CONVENIO DE SUMINISTRO DE ARRIENDO EQUIPOS MEDICO,Cerrada,LE,Región del Biobío,Nacimiento,SERVICIO SALUD BIO BIO HOSPITAL NACIMIENTO,54000000.0,CLP,2026-05-19,2026-06-05,2026-06-16,1,2026-06-05
1895-16-LE26,COMPRA FILTROS INSUMOS Y REPUESTOS PARA MANTENCIÓN PREVENTIVA YO CORRECTIVA DE MAQUINARIA PESADA VOLVO DE LA PROVINCIA DE CHILOÉ SOLICITUD 5,Publicada,LE,Región de los Lagos,Puerto Montt,MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF,,CLP,2026-06-05,2026-06-15,2026-06-22,2,2026-06-05
4999-2-LE26,SEGURO PARA TODO EVENTO DESTINADO A BIENES INMUEBLES Y FLOTA DE VEHÍCULOS DEL DEPARTAMENTO DE SALUD MUNICIPAL DE SAN PEDRO DE ATACAMA.,Adjudicada,LE,Región de Antofagasta,,I MUNICIPALIDAD DE SAN PEDRO DE ATACAMA,50000000.0,CLP,2026-05-05,2026-05-15,2026-06-05,1,2026-06-05
1067355-3-L126,"CONTRATACIÓN DE SERVICIOS DE REPARACIONES DE FILTRACIONES VARIAS DE CALEFACCIÓN Y AGUA CALIENTE SANITARIA, HOSPITAL SANTA ELISA.",Cerrada,L1,Región Metropolitana de Santiago,Santiago,HOSPITAL SANTA ELISA DE SAN JOSE DE LA MARIQUINA,2000000.0,CLP,2026-05-26,2026-06-05,2026-07-08,1,2026-06-05
1057489-43-LP26,CONVENIO DE SUMINISTRO DE INSUMOS PARA DETECCIÓN DE AUTOANTICUERPOS MEDIANTE INMUNOFLUORESCENCIA INDIRECTA CON INCORPORACIÓN DE EQUIPAMIENTO POR 36 MESES EN EL HOSPITAL DEL SALVADOR.,Revocada,LP,Región Metropolitana de Santiago,Providencia,SERVICIO DE SALUD ORIENTE HOSPITAL DEL SALVADOR,290000000.0,CLP,2026-02-06,2026-02-26,2026-05-26,1,2026-06-05
1523-42-LP26,BASES TEC Y ADM PPTA35-26 MANT. EQUIPOS MEDICOS V,Adjudicada,LP,Región de la Araucanía,Lautaro,SERVICIO NACIONAL ARAUCANIA SUR HOSPITAL DR ABRAHAM GODOY PENA LAUTARO,,CLP,2026-03-25,2026-04-14,2026-06-05,9,2026-06-05
1237328-39-CO26,SERVICIO DE MÉDICO ESPECIALISTA OFTALMÓLOGO,Publicada,CO,Región de Magallanes y de la Antártica,Punta Arenas,CORP MUNICIPAL DE PUNTA ARENAS PARA LA EDUCACION SALUD Y AT AL MENOR,,CLP,2026-06-05,2026-06-15,2026-08-14,1,2026-06-05
1422825-771-LR25,“CONTRATO POR EL SERVICIO DE RETIRO TRANSPORTE TRATAMIENTO Y DISPOSICIÓN FINAL DE RESIDUOS ESPECIALES Y PELIGROSOS GENERADOS POR EL HOSPITAL CARLOS VAN BUREN DE VALPARAISO”,Publicada,LR,Región de Valparaíso,Valparaíso,SERVICIO NACIONAL DE SALUD HOSPITAL CARLOS VAN BUREN,,CLP,2026-06-05,2026-07-08,2026-08-26,2,2026-06-05
3561-20-L126,INSUMOS DENTALES PARA CONVENIOS DE PROTESIS,Adjudicada,L1,Región de Valparaíso,La Calera,I MUNICIPALIDAD DE LA CALERA,5700000.0,CLP,2026-04-24,2026-05-05,2026-06-05,14,2026-06-05
1079639-8-LE26,ADQUISICIÓN DE INSUMOS PARA IDENTIFICACIÓN FORENSE,Cerrada,LE,Región de los Lagos,Puerto Montt,DIRECCION DE LOGISTICA DE CARABINEROS,11645320.0,CLP,2026-05-27,2026-06-05,2026-06-30,1,2026-06-05
