codigo,nombre,estado,tipo,region,comuna,hospital,monto_estimado,moneda,fecha_publicacion,fecha_cierre,fecha_adjudicacion,cantidad_items,date_scraped
2360-47-LE26,ADQUISICION DE INSUMOS GENERALES JUNIO 2026,Cerrada,LE,Región del Biobío,Talcahuano,I MUNICIPALIDAD DE TALCAHUANO,20000000.0,CLP,2026-06-16,2026-06-26,2026-07-10,20,2026-06-26
1057935-9-LR26,ADQUISICIÓN DE AMBULANCIAS PARA DEPENDENCIAS SAMU  DEL SERVICIO DE SALUD LOS RÍOS,Cerrada,LR,Región de Los Ríos,Valdivia,SERVICIO DE SALUD LOS RIOS,484197258.0,CLP,2026-05-26,2026-06-26,2026-09-24,2,2026-06-26
1058900-6-LE26,SERVICIO DE MANTENCIÓN PREVENTIVA Y CORRECTIVA A LA CENTRAL DE GASES CLÍNICOS DEL EDIFICIO DE LA CLÍNICA ODONTOLÓGICA ASISTENCIAL DOCENTE DEL DEPARTAMENTO DE ODONTOLOGÍA,Cerrada,LE,Región de Coquimbo,La Serena,UNIVERSIDAD DE LA SERENA,,CLP,2026-06-16,2026-06-26,2026-09-03,1,2026-06-26
1704-53-LP25,ADQUISICIÓN DE INSUMOS DE TRAUMATOLOGÍA MAL UNION RADIAL,Adjudicada,LP,Región de Valparaíso,Quillota,SERVICIO DE SALUD VINA DEL MAR QUILLOTA,,CLP,2025-06-05,2025-06-26,2026-06-26,1,2026-06-26
2080-154-LP26,SERV. MÉDICOS DE RADIOLOGÍA INTERVENCIOINAL HDFRZ,Cerrada,LP,Región del Libertador General Bernardo O´Higgins,Rancagua,SERVICIO DE SALUD DEL LIBERTADOR B O'HIGGINS HOSPITAL REG RANCAGUA,,CLP,2026-06-05,2026-06-26,2026-08-25,8,2026-06-26
4162-19-LE26,COMPRA DE INSUMOS CLINICOS PARA AMBOS CESFAM,Publicada,LE,Región del Libertador General Bernardo O´Higgins,Doñihue,I MUNICIPALIDAD DE DONIHUE,,CLP,2026-06-26,2026-07-06,2026-07-30,32,2026-06-26
1075963-211-LE26,ADQUISICIÓN DE ALIMENTOS E INSUMOS DE NUTRICIÓN PARA SEDILE,Adjudicada,LE,Región de Arica y Parinacota,Santiago,SERVICIO DE SALUD ARICA HOSP DR JUAN NOE CREVANI,,CLP,2026-05-19,2026-05-29,2026-06-26,9,2026-06-26
1382-12-LE26,FARMACOS PARA EL CONSULTORIO MIRAFLORES,Cerrada,LE,Región de la Araucanía,Temuco,CONSULTORIO MIRAFLORES,,CLP,2026-06-16,2026-06-26,2026-07-03,28,2026-06-26
2080-156-LE26,COMPRA EXTRACTORES DE LECHE HOSPITALARIOS,Adjudicada,LE,Región del Libertador General Bernardo O´Higgins,Rancagua,SERVICIO DE SALUD DEL LIBERTADOR B O'HIGGINS HOSPITAL REG RANCAGUA,,CLP,2026-05-27,2026-06-09,2026-06-26,1,2026-06-26
1552-67-LE26,INSUMOS PESQUISA DE VPH POR PCR,Publicada,LE,Región de Atacama,Copiapó,SERVICIO DE SALUD ATACAMA,30000000.0,CLP,2026-06-26,2026-07-06,2026-08-04,1,2026-06-26
705290-48-LE26,SERVICIOS PROFESIONALES PARA SALUD DIGITAL,Adjudicada,LE,Región Metropolitana de Santiago,,SERVICIO SALUD OCCIDENTE HOSPITAL DR FELIX BULNES CERDA,,CLP,2026-05-25,2026-06-04,2026-06-26,5,2026-06-26
1057510-37-LP26,CONVENIO SUMINISTRO DE CLAVOS ENDOMEDULARES Y CLAVOS CEFALOMEDULAR PARA CIRUGIAS TRAUMATOLÓGICAS DEL HOSPITAL DE SAN CARLOS DR. BENICIO ARZOLA MEDINA,Adjudicada,LP,Región del Ñuble,San Carlos,SERVICIO DE SALUD NUBLE HOSPITAL DE SAN CARLOS DR BENICIO ARZOLA MEDIN,,CLP,2026-05-18,2026-06-08,2026-06-26,6,2026-06-26
1058900-7-LE26,SERVICIO DE MANTENCIÓN PREVENTIVA Y CORRECTIVA PARA SISTEMA DE CLIMATIZACIÓN DEL EDIFICIO DE LA CLÍNICA ODONTOLÓGICA ASISTENCIAL DOCENTE DEL DEPARTAMENTO DE ODONTOLOGÍA,Cerrada,LE,Región de Coquimbo,La Serena,UNIVERSIDAD DE LA SERENA,,CLP,2026-06-16,2026-06-26,2026-09-03,1,2026-06-26
1469-87-L126,"COMPRA INSUMOS CLÍNICOS – PROYECTO INVESTIGACIÓN, FACULTAD DE ODONTOLOGÍA, UNIVERSIDAD DE TALCA",Adjudicada,L1,Región del Maule,Talca,UNIVERSIDAD DE TALCA,,CLP,2026-06-12,2026-06-22,2026-06-26,9,2026-06-26
799512-33-LP26,CONVENIO DE SUMINISTRO FARMACOS E INSUMOS,Cerrada,LP,Región de Valparaíso,Valparaíso,CORP MUNICIPAL DE VALPARAISO PARA EL DESARROLLO SOCIAL,267053014.0,CLP,2026-06-15,2026-06-26,2026-07-13,50,2026-06-26
