codigo,nombre,estado,tipo,region,comuna,hospital,monto_estimado,moneda,fecha_publicacion,fecha_cierre,fecha_adjudicacion,cantidad_items,date_scraped
1057550-28-L126,CS CARNES ROJAS Y BLANCAS PARA UNIDAD DE ALIMENTACION DEL HOSPITAL DE CORRAL,Publicada,L1,Región de Los Ríos,Corral,SERVICIO DE SALUD VALDIVIA HOSPITAL DE C,3650000.0,CLP,2026-06-17,2026-06-24,2026-08-01,1,2026-06-17
2703-146-L126,SC 12147 INSUMOS ODONTOLÓGICOS. DESP. PARCIALIZADO. CESFAM.,Publicada,L1,Región Metropolitana de Santiago,,I MUNICIPALIDAD DE TALAGANTE,7000000.0,CLP,2026-06-17,2026-06-25,2026-08-28,4,2026-06-17
4375-81-LE26,“CONVENIO SUMINISTRO INSUMOS SAMU”,Publicada,LE,Región del Biobío,Concepción,HOSPITAL GUILLERMO GRANT BENAVENTE DE CO,,CLP,2026-06-17,2026-06-30,2026-08-31,2,2026-06-17
5056-65-LP26,SERVICIO DE APOYO PERSONAL MÉDICO PARA CIRUGÍA DE HOMBRO MANO Y CADERA,Adjudicada,LP,Región del Maule,Talca,SERVICIO DE SALUD DEL MAULE HOSPITAL DE TALCA,,CLP,2026-06-02,2026-06-12,2026-06-17,1,2026-06-17
1057503-99-LP26,ADQUISICIÓN DE SET DE ADMINISTRACIÓN EPIDURAL ALTO FLUJO CON BOMBAS EN COMODATO POR SISTEMA DE SUMINISTRO PARA EL HOSPITAL PADRE ALBERTO HURTADO,Publicada,LP,Región Metropolitana de Santiago,San Ramón,HOSPITAL PADRE ALBERTO HURTADO,130000000.0,CLP,2026-06-17,2026-07-07,2026-10-05,1,2026-06-17
4090-20-L126,INSUMOS DENTALES PROGRAMA SALUD ORAL MODULO JUNAEB,Cerrada,L1,Región de los Lagos,Maullín,I MUNICIPALIDAD DE MAULLIN,,CLP,2026-06-10,2026-06-17,2026-07-24,51,2026-06-17
4308-11-L126,ADQ DE MEDICAMENTOS INSUMOS DE CURACION Y OXIGENO,Cerrada,L1,Región de la Araucanía,Ercilla,I MUNICIPALIDAD DE ERCILLA,5044700.0,CLP,2026-06-05,2026-06-17,2026-07-16,3,2026-06-17
1057509-145-LE26,COMPRA DE SERVICIO DE AUXILIAR DE BODEGA PARA APOYO EN COORDINACIÓN DE INSUMOS CRP,Cerrada,LE,Región del Ñuble,Chillán,HOSPITAL CLINICO HERMINDA MARTIN,,CLP,2026-06-09,2026-06-17,2026-07-02,1,2026-06-17
2703-145-L126,SC 12145 INSUMOS CLÍNICOS. CESFAM.,Publicada,L1,Región Metropolitana de Santiago,,I MUNICIPALIDAD DE TALAGANTE,7000000.0,CLP,2026-06-17,2026-06-25,2026-08-27,5,2026-06-17
5056-67-LP26,SERVICIO DE APOYO PERSONAL MÉDICO PARA CIRUGÍA PEDIÁTRICA PLÁSTICA Y REPARADORA,Adjudicada,LP,Región del Maule,Talca,SERVICIO DE SALUD DEL MAULE HOSPITAL DE TALCA,,CLP,2026-06-02,2026-06-15,2026-06-17,1,2026-06-17
1057049-199-LP26,JCD ADQ. DISTINTOS INSUMO UNIDADES PEDIATRICAS,Publicada,LP,Región Metropolitana de Santiago,Santiago,SERV SALUD METROPOLITANO CENTRAL HOSPITAL CLINICO SAN BORJA ARRIARAN,180000000.0,CLP,2026-06-17,2026-07-07,2026-07-09,60,2026-06-17
1057503-100-LR26,ADQUISICIÓN DE REACTIVOS PARA BIOLOGÍA MOLECULAR POR CONVENIO DE SUMINISTRO CON EQUIPOS EN COMODATO PARA EL HOSPITAL PADRE ALBERTO HURTADO,Publicada,LR,Región Metropolitana de Santiago,San Ramón,HOSPITAL PADRE ALBERTO HURTADO,697000000.0,CLP,2026-06-17,2026-07-17,2026-10-15,12,2026-06-17
1191382-9-LE26,PP 605-2026  SISTEMA DE INFORMACION PROCESO DE ACREDITACION Y CALIDAD PARA EL AREA DE SALUD MUNICIPAL DE VALDIVIA SOLICITUD Nº 5809-2026.,Publicada,LE,Región de Los Ríos,,I MUNICIPALIDAD VALDIVIA,22463925.0,CLP,2026-06-17,2026-06-30,2026-07-22,1,2026-06-17
1641-135-LP26,RPH - SUMINISTRO INSUMOS URODINAMIA EQ EN HOSPITAL,Adjudicada,LP,Región Metropolitana de Santiago,Santiago,SERVICIO DE SALUD OCCIDENTE HOSPITAL SAN JUAN DE DIOS,,CLP,2026-03-23,2026-04-13,2026-06-17,5,2026-06-17
2099-22-L126,"SERVICIO DE CURSO CAPACITACION TÉCNICA DE METROLOGÍA Y VERIFICACIONES   INTERMEDIAS PARA LABORATORIO, SEREMI DE SALUD MAGALLANES",Cerrada,L1,Región de Magallanes y de la Antártica,Punta Arenas,SUBSECRETARIA DE SALUD PUBLICA,3173000.0,CLP,2026-06-02,2026-06-17,2026-06-24,1,2026-06-17
2963-23-LP26,SERVICIO DE ARRIENDO DE VEHÍCULO PARA LA DIRECCIÓN DE ADMINISTRACIÓN DE SALUD MUNICIPAL DE LA I. MUNICIPALIDAD DE LA GRANJA 3 VEHÍCULOS,Cerrada,LP,Región Metropolitana de Santiago,La Granja,I MUNICIPALIDAD DE LA GRANJA,120000000.0,CLP,2026-05-28,2026-06-17,2026-07-24,1,2026-06-17
4635-7-LE26,SUMINISTRO DE INSUMOS  DENTALES DE USO GENERAL  PARA  LA SUBDIRECCIÓN ODONTOLÓGICA DEL HOSPITAL DE CARABINEROS POR 24 MESES.,Publicada,LE,Región Metropolitana de Santiago,Providencia,DIRECCION DE LOGISTICA DE CARABINEROS,,CLP,2026-06-17,2026-06-30,2026-08-31,35,2026-06-17
4635-8-LE26,SUMINISTRO DE INSUMOS  DENTALES DE USO EN ORTODONCIA  PARA  LA SUBDIRECCIÓN ODONTOLÓGICA DEL HOSPITAL,Publicada,LE,Región Metropolitana de Santiago,Providencia,DIRECCION DE LOGISTICA DE CARABINEROS,,CLP,2026-06-17,2026-06-30,2026-08-31,40,2026-06-17
1509-52-LE26,CONSULTAS DE TECNOLOGO MEDICO VICIO REFRACCION GES,Adjudicada,LE,Región Metropolitana de Santiago,Til Til,SERVICIO DE SALUD METROPOLITANO NORTE HOSPITAL DE TIL TIL,,CLP,2026-06-01,2026-06-08,2026-06-17,1,2026-06-17
2207-4-LE26,NUTRICIONISTA HOSPITAL DE PICHILEMU,Adjudicada,LE,Región del Libertador General Bernardo O´Higgins,Pichilemu,SERVICIO DE SALUD HOSPITAL DE PICHILEMU,,CLP,2026-04-22,2026-05-04,2026-06-17,1,2026-06-17
2963-22-LP26,ARRIENDO DE VEHÍCULOS PARA LA DIRECCIÓN DE ADMINISTRACIÓN DE SALUD MUNICIPAL DE LA I. MUNICIPALIDAD DE LA GRANJA 5 VEHICULOS,Cerrada,LP,Región Metropolitana de Santiago,La Granja,I MUNICIPALIDAD DE LA GRANJA,220000000.0,CLP,2026-05-28,2026-06-17,2026-07-24,1,2026-06-17
3509-14-LE26,CAPACITACION 2026 PERSONAL DEL DPTO. DE SALUD,Publicada,LE,Región de Coquimbo,Illapel,I MUNICIPALIDAD DE ILLAPEL,,CLP,2026-06-17,2026-06-30,2026-07-10,1,2026-06-17
3937-15-L126,EXÁMENES MÉDICOS PARA PROGRAMA DE RESOLUTIVIDAD,Publicada,L1,Región de la Araucanía,Curarrehue,ILUSTRE MUNICIPALIDAD DE CURARREHUE,,CLP,2026-06-17,2026-06-24,2026-06-26,2,2026-06-17
956-42-LP26,SERVICIOS DE TRASLADO DE FUNCIONARIOS E INSUMOS PARA EL CESFAM PLAZA JUSTICIA CESFAM JEAN MARIE THIERRY SAR DE VALPARAÍSO VIGENCIA 12 MESES,Publicada,LP,Región de Valparaíso,Valparaíso,SERVICIO DE SALUD VALPARAISO SAN ANTONIO,96370714.0,CLP,2026-06-17,2026-07-07,2026-10-07,1,2026-06-17
1180747-5-LE26,ADQUISICION DE EQUIPOS Y EQUIPAMIENTO MEDICO PARA CECOSF CHIFIN,Adjudicada,LE,Región de los Lagos,Puerto Montt,SERVICIO DE SALUD OSORNO,62377000.0,CLP,2026-04-24,2026-05-15,2026-06-17,13,2026-06-17
1180877-8-LP26,ADQUISICIÓN DE INSTRUMENTAL PARA CIRUGÍA TIROIDES TÓRAX Y CARÓTIDA PARA EL HOSPITAL EDUARDO PEREIRA,Publicada,LP,Región de Valparaíso,Valparaíso,SERVICIO DE SALUD VALPARAISO SAN ANTONIO,74854440.0,CLP,2026-06-17,2026-07-07,2026-09-07,3,2026-06-17
3471-39-LE26,CONTRATACIÓN EN LÍNEAS DE ADJUDICACIÓN DE UN SUMINISTRO DE MEDICAMENTOS ANTIINFLAMATORIOS ANALGÉSICOS Y  DE USO EN SISTEMA RESPIRATORIO POR 24 MESES PARA EL HOSPITAL DE CARABINEROS.,Adjudicada,LE,Región Metropolitana de Santiago,Ñuñoa,DIRECCION DE LOGISTICA DE CARABINEROS,,CLP,2026-04-27,2026-05-07,2026-06-17,6,2026-06-17
