codigo,nombre,estado,tipo,region,comuna,hospital,monto_estimado,moneda,fecha_publicacion,fecha_cierre,fecha_adjudicacion,cantidad_items,date_scraped
438-31-LE26,INSUMOS CLINICOS PARA CENTRO DE SALUD RED DE URGENCIA DE LA I. MUNICIPALIDAD DE SAN RAMON,Cerrada,LE,Región Metropolitana de Santiago,Santiago,I MUNICIPALIDAD DE SAN RAMON,17000000.0,CLP,2026-05-04,2026-05-13,2026-06-15,19,2026-05-13
894863-9-LE26,SERVICIO DE REVISIÓN DE PROYECTOS SANITARIOS-PGC ELQUI 2026,Cerrada,LE,Región de Coquimbo,La Serena,SERVICIO DE VIVIENDA Y URBANIZACION IV REGION,,CLP,2026-04-27,2026-05-13,2026-06-11,1,2026-05-13
935-7-L126,INSUMOS DE ENFERMERIA RECINTOS IND XII REGION,Cerrada,L1,Región del Biobío,Lota,INSTITUTO NACIONAL DE DEPORTES DE CHILE,5000000.0,CLP,2026-04-30,2026-05-13,2026-05-26,1,2026-05-13
2107-79-LE26,ADQUISICIÓN DE INSUMOS PARA ORTODONCIA Y PERIODONCIA PARA DEPARTAMENTO DE ODONTOESTOMATOLOGIA,Publicada,LE,Región del Libertador General Bernardo O´Higgins,Santa Cruz,SERVICIO DE SALUD HOSPITAL DE SANTA CRUZ,,CLP,2026-05-13,2026-05-25,2026-06-25,38,2026-05-13
4457-38-L126,SERVICIO DE MANTENCION BOMBAS DE AGUAS Y MANTENCION DE CALETAS ESTABLECIMIENTOS DE SALUD MUNICIPAL,Publicada,L1,Región del Biobío,Hualqui,I MUNICIPALIDAD DE HUALQUI,3800000.0,CLP,2026-05-13,2026-05-22,2026-06-04,2,2026-05-13
918023-3-L126,CONTRATO SUMINISTRO CENA DIA DE LOS ESTAMENTOS SERVICIO BIENESTAR SALUD MUNICIPAL HUALQUI.,Publicada,L1,Región del Biobío,Hualqui,I MUNICIPALIDAD DE HUALQUI,4780000.0,CLP,2026-05-13,2026-05-22,2026-06-11,1,2026-05-13
1660-88-L126,INSUMOS ODONTOLOGICOS UTILIZADOS PARA TRATAMIENTOS RECUPERATIVOS GES SALUD ORAL INTEGRAL DE LA PERSONA GESTANTE,Publicada,L1,Región de Coquimbo,Salamanca,SERVICIO SALUD COQUIMBO HOSP DE SALAMANC,6958525.0,CLP,2026-05-13,2026-05-25,2026-06-09,27,2026-05-13
2360-28-LE26,ADQUISICIÓN DE INSUMOS CARRO DE PARO CONVENIO SAR SAN VICENTE,Cerrada,LE,Región del Biobío,Talcahuano,I MUNICIPALIDAD DE TALCAHUANO,,CLP,2026-05-05,2026-05-13,2026-05-20,7,2026-05-13
1261592-37-LP26,C. SUMINISTRO DISPOSITIVOS MEDICOS PARA LA DROGUER,Publicada,LP,Región de Antofagasta,Antofagasta,CORP MUNICIPAL DE DESARROLLO SOCIAL DE A,133020000.0,CLP,2026-05-13,2026-06-02,2026-09-01,132,2026-05-13
