codigo,nombre,estado,tipo,region,comuna,hospital,monto_estimado,moneda,fecha_publicacion,fecha_cierre,fecha_adjudicacion,cantidad_items,date_scraped
1057501-110-LE26,CONVENIO INSUMOS VARIOS SERVICIOS,Adjudicada,LE,Región Metropolitana de Santiago,,COMPLEJO ASISTENCIAL DR. SOTERO DEL RIO,,CLP,2026-04-06,2026-04-17,2026-05-28,3,2026-05-28
1947-89-LE26,CONTRATACIÓN DEL SERVICIO DE ESTUDIO ANATOMOPATOLÓGICO DE BIOPSIA RENAL PARA EL HOSPITAL DE NIÑOS DR. ROBERTO DEL RÍO MMT,Publicada,LE,Región Metropolitana de Santiago,Independencia,SERVICIO DE SALUD NORTE HOSPITAL ROBERTO DEL RIO,26000000.0,CLP,2026-05-28,2026-06-08,2026-07-08,1,2026-05-28
1057461-31-L126,INSUMOS CLINICOS VARIOS,Publicada,L1,Región Metropolitana de Santiago,La Granja,SERVICIO DE SALUD DEL MAULE HOSPITAL DE CAUQUENES,5300000.0,CLP,2026-05-28,2026-06-08,2026-07-08,7,2026-05-28
1643-48-LP26,SERVICIO DE MOVILIZACIÓN UNIDADES HOSPITALARIAS,Adjudicada,LP,Región Metropolitana de Santiago,Talagante,SERVICIO NACIONAL DE SALUD HOSPITAL DE T,,CLP,2026-05-12,2026-05-22,2026-05-28,1,2026-05-28
1952-25-LP26,CONVENIO DE INTERMEDIACION DE RECURSOS HUMANOS ADMINISTRATIVO Y AUXILIAR MODALIDAD CODIGO DEL TRABAJO PARA DISTINTOS DEPARTAMENTOS DEL HOSPITAL VILLARRICA,Adjudicada,LP,Región de la Araucanía,Villarrica,HOSPITAL VILLARRICA,,CLP,2026-03-02,2026-03-23,2026-05-28,1,2026-05-28
1979-103-LE26,112.26 “ARRIENDO DE VENTILADOR MECÁNICO NO INVASIVO PARA NODO COSTERO: HOSPITAL NVA IMPERIAL.”,Publicada,LE,Región de la Araucanía,Nueva Imperial,SERVICIO DE SALUD ARAUCANIA SUR HOSPITAL DE NUEVA IMPERIAL,,CLP,2026-05-28,2026-06-11,2026-08-10,1,2026-05-28
1057432-31-LE26,ADQUISICIÓN DE INSUMOS DEPTO. GESTIÓN HOSPITALARIA,Publicada,LE,Región del Biobío,Concepción,SERVICIO DE SALUD CONCEPCION,,CLP,2026-05-28,2026-06-02,2026-07-13,26,2026-05-28
1350296-47-LE26,ADQUISICIÓN DE SERVICIOS DE CAPACITACIÓN PARA PAC 2026 DEL HOSPITAL DE ALTO HOSPICIO,Publicada,LE,Región de Tarapacá,Alto Hospicio,HOSPITAL DE ALTO HOSPICIO,42190205.0,CLP,2026-05-28,2026-06-09,2026-10-02,20,2026-05-28
1359575-13-LP25,SISTEMA DE TESTIGO ELECTRÓNICO Y CS INSUMOS,Adjudicada,LP,Región de Valparaíso,Valparaíso,UNIVERSIDAD DE VALPARAISO,,CLP,2026-04-09,2026-04-23,2026-05-28,2,2026-05-28
1514-60-LP26,SERVICIO DE TALLERES DE REHABILITACIÓN SOCIO-LABORAL PARA USUARIOS DE LOS DISPOSITIVO Y TALLERES INCLUSIVOS DEL CR DE SALUD MENTAL DEL HOSPITAL DE CASTRO,Adjudicada,LP,Región de los Lagos,Castro,SERVICIO DE SALUD CHILOE,,CLP,2026-04-28,2026-05-11,2026-05-28,6,2026-05-28
2660-41-LE26,AITO: REPOSICIÓN CON RELOCALIZACIÓN POSTA DE SALUD RURAL SECTOR NAL COMUNA DE ANCUD,Revocada,LE,Región de los Lagos,Ancud,I MUNICIPALIDAD DE ANCUD,,CLP,2026-05-15,2026-05-25,2026-05-29,1,2026-05-28
1003473-194-LP25,CONTRATO DE SUMINISTRO DE CLIPS DE POLIURETANO Y OTROS PARA EL HOSPITAL DE CURICÓ,Adjudicada,LP,Región del Maule,Curicó,SERVICIO DE SALUD DEL MAULE HOSPITAL DE CURICO,,CLP,2026-02-23,2026-03-16,2026-05-28,7,2026-05-28
